"","BatProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"195","XP_045673063","KHDC4",147.930855584986,0.142825962102469,0.0660635345761272,2.16194853967261,0.0306221429674176,0.0641867980385157,FALSE,"3J7EJ","KIAA0907","KIAA0907_3J7EJ"
"196","XP_045673065","RXFP4",0.40344658578237,1.07083631303815,1.12942071358328,0.948128806351303,0.343063885024043,NA,FALSE,"3J5XP","RXFP4","RXFP4_3J5XP"
"205","XP_045673099","LOC123804722",1.14239293765675,-0.563694539094103,0.58730006154977,-0.959806708697805,0.337152505284134,0.472225571522715,FALSE,"3JIAZ","LENEP","LENEP_3JIAZ"
"208","XP_045673110","LOC123804729",149.022109734037,-1.10455727253137,0.0533121861919832,-20.7186639946397,2.35119221266115e-95,2.16647498537909e-93,TRUE,"3J9PY","SLC25A24","SLC25A24_3J9PY"
"211","XP_045673124","NTRK1",0.0575469827298429,-0.235432311557999,3.01680148840342,-0.0780403723821407,0.937795938385666,NA,FALSE,"3J2M5","NTRK1","NTRK1_3J2M5"
"222","XP_045673150","PHGDH",8.95209116112699,-0.451715764249243,0.168915936070288,-2.67420454669995,0.0074906747838803,0.0182630761572313,TRUE,"3J3US","PHGDH","PHGDH_3J3US"
"231","XP_045673178","GPR88",0.0187920958122904,-0.151560487419417,3.01756718978119,-0.0502260522757099,0.959942251035754,NA,FALSE,"3JB1H","GPR88","GPR88_3JB1H"
"236","XP_045673187","CUNH1orf115",5.35677899478888,-0.355947132008485,0.218683324624303,-1.62768300975852,0.103592117524004,0.1832116051239,FALSE,"3JH2J","C1orf115","C1orf115_3JH2J"
"241","XP_045673213","CASQ2",0.0166384975783198,-0.1501813600853,3.017545485362,-0.0497693774008791,0.960306169723372,NA,FALSE,"3J69Q","CASQ2","CASQ2_3J69Q"
"242","XP_045673214","MEX3A",0.818351611844366,-0.568613583150761,0.600055853279616,-0.947601094203137,0.343332568931999,0.478748571724364,FALSE,"3J5IM","MEX3A","MEX3A_3J5IM"
"244","XP_045673222","LOC123804788",173.011962641525,0.377929177074819,0.0750605690895119,5.03498949793637,4.77875031893409e-07,2.08426833143282e-06,TRUE,"3JDXQ","HIST1H1C","HIST1H1C_3JDXQ"
"253","XP_045673266","SHISA4",0.0926388554749902,0.114721641238743,3.01674138928046,0.0380283313798091,0.969665093186189,NA,FALSE,"3J6R9","SHISA4","SHISA4_3J6R9"
"254","XP_045673269","ETV3L",0.0680691511084778,-0.0227610627698867,3.0163875675167,-0.00754580181108,0.993979378370936,NA,FALSE,"3J4N1","ETV3L","ETV3L_3J4N1"
"258","XP_045673278","S100A1",0.300769438598799,0.0705814516034621,1.95168271834304,0.0361644087638309,0.971151265106321,NA,FALSE,"3JHDV","S100A1","S100A1_3JHDV"
"261","XP_045673284","CCT3",163.886191792095,0.242614204762107,0.0529441520496489,4.5824551979715,4.5954818709519e-06,1.79969127593971e-05,TRUE,"3JCEM","CCT3","CCT3_3JCEM"
"274","XP_045673319","HHIPL2",0.0402807805061107,-0.230837041452582,3.0174105781004,-0.0765017008715814,0.939019960842967,NA,FALSE,"3JA3K","HHIPL2","HHIPL2_3JA3K"
"278","XP_045673326","F8A1",15.9160147970668,-0.114257964102325,0.11944704672379,-0.956557464049617,0.338790667001972,0.473651095573998,FALSE,"3J1RE","F8A1","F8A1_3J1RE"
"286","XP_045673338","RAB39B",3.27753793852711,-0.0965169411790494,0.277631044166123,-0.347644628391405,0.728107085744846,0.823539330787901,FALSE,"3J8IX","RAB39B","RAB39B_3J8IX"
"290","XP_045673362","IARS2",86.8552239132622,-0.264280402455232,0.0617144156187767,-4.28231232209586,1.8496111949423e-05,6.72902570649193e-05,TRUE,"3JBMM","IARS2","IARS2_3JBMM"
"299","XP_045673404","ACBD3",65.9979596006568,0.308437577383829,0.0605414374059448,5.09465236703386,3.49381749577887e-07,1.54741369916637e-06,TRUE,"3J51W","ACBD3","ACBD3_3J51W"
