"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"KICS2",17.0873617376443,1.13117468388593,0.203003643820937,5.572189063186,2.51558204282349e-08,1.8890135067434e-07,TRUE,"KICSTOR subunit 2%2C transcript variant X1;transcript_id=XM_045829932.1",NA,NA
"KIDINS220",205.572184386923,-0.238721498946153,0.0685689954996358,-3.48147872382674,0.000498653394910845,0.00206642395569717,TRUE,"kinase D interacting substrate 220%2C transcript variant X1;transcript_id=XM_045844681.1",NA,NA
"KIF11",504.861873432947,-0.0501654083114672,0.0657634568666784,-0.762815866160549,0.445573217464677,0.627170017347975,FALSE,"kinesin family member 11%2C transcript variant X1;transcript_id=XM_045854566.1",NA,NA
"KIF13A",26.6842786399637,-0.833502826060469,0.151565107195437,-5.49930548978994,3.8129005160395e-08,2.82063201723709e-07,TRUE,"kinesin family member 13A%2C transcript variant X8;transcript_id=XM_045847011.1",NA,NA
"KIF13B",146.163148128009,-0.490264991783496,0.0927970039717357,-5.28319849564132,1.26947713459025e-07,8.87195982053465e-07,TRUE,"kinesin family member 13B%2C transcript variant X2;transcript_id=XM_045831811.1",NA,NA
"KIF14",5.2561393703139,-0.495526780574086,0.330496322939772,-1.49934128212491,0.133785117962268,0.267466190466626,FALSE,"kinesin family member 14%2C transcript variant X2;transcript_id=XM_045818272.1",NA,NA
"KIF15",137.403685223224,-0.0533549439071181,0.0783539617357275,-0.680947621858277,0.495904633557872,0.672424885098603,FALSE,"kinesin family member 15%2C transcript variant X2;transcript_id=XM_045856922.1",NA,NA
"KIF16B",27.9565455074667,-0.194048343690422,0.146311627129231,-1.3262674163211,0.184751135631719,0.340739150542106,FALSE,"kinesin family member 16B%2C transcript variant X5;transcript_id=XM_045833301.1",NA,NA
"KIF17",0.299970869891438,-0.16593428150424,2.61645236418602,-0.0634195690988101,0.949432404729699,NA,FALSE,"kinesin family member 17;transcript_id=XM_045859340.1",NA,NA
"KIF18A",84.1731310418318,0.0135336944641474,0.106519349121263,0.127053859939948,0.898897769851257,0.948266137896572,FALSE,"kinesin family member 18A;transcript_id=XM_045825468.1",NA,NA
"KIF18B",3.78858412494856,-0.199913697907293,0.389095455341507,-0.51379088386378,0.60739820215994,0.762473335241712,FALSE,"kinesin family member 18B%2C transcript variant X2;transcript_id=XM_045836883.1",NA,NA
"KIF19",0.037482301505223,-0.323518809541398,2.97393788019936,-0.108784656093661,0.913373294248742,NA,FALSE,"kinesin family member 19;transcript_id=XM_045835650.1",NA,NA
"KIF1A",1.57306768827502,-1.10638587849023,0.791584771119824,-1.39768464333272,0.16220778777203,0.309870314416124,FALSE,"kinesin family member 1A%2C transcript variant X1;transcript_id=XM_045845536.1",NA,NA
"KIF1B",281.43456105656,0.645416814585597,0.0769708065168333,8.38521569141212,5.06328289525227e-17,7.8096075376371e-16,TRUE,"kinesin family member 1B%2C transcript variant X8;transcript_id=XM_045859768.1",NA,NA
"KIF1C",108.818095038174,-0.590416041991388,0.0858445469641905,-6.8777349624511,6.08116720060959e-12,6.35473732399744e-11,TRUE,"kinesin family member 1C%2C transcript variant X2;transcript_id=XM_045824040.1",NA,NA
"KIF20A",20.2094956317358,-0.406627542628891,0.165455892189977,-2.45761898985138,0.0139861469478437,0.0411212982317082,TRUE,"kinesin family member 20A;transcript_id=XM_045827018.1",NA,NA
"KIF20B",1016.56096878119,-0.0259352117390558,0.0734704998080134,-0.35300170553933,0.724087161910326,0.843847403498668,FALSE,"kinesin family member 20B%2C transcript variant X1;transcript_id=XM_045854609.1",NA,NA
"KIF21A",1.50469102606145,-0.544759723415455,0.645605400482988,-0.843796726309772,0.398783005174282,0.584124766044801,FALSE,"kinesin family member 21A%2C transcript variant X1;transcript_id=XM_045829082.1",NA,NA
"KIF21B",101.255140135816,-0.0541078783899949,0.0868423567479234,-0.623058613517979,0.533246005165953,0.702817800106963,FALSE,"kinesin family member 21B%2C transcript variant X4;transcript_id=XM_045860413.1",NA,NA
"KIF22",68.582317455062,-0.675689835172012,0.140862694807004,-4.79679759142601,1.61222365841199e-06,9.75174027739078e-06,TRUE,"kinesin family member 22;transcript_id=XM_045849012.1",NA,NA
"KIF23",183.146132865053,-0.0255554185397988,0.0814613392699691,-0.313712231701791,0.753739609884498,0.864301263294414,FALSE,"kinesin family member 23%2C transcript variant X1;transcript_id=XM_045822741.1",NA,NA
"KIF24",159.805501768419,-0.0408267391828932,0.0901569217595551,-0.452840873291753,0.650663329278203,0.793534529199574,FALSE,"kinesin family member 24;transcript_id=XM_045840509.1",NA,NA
"KIF26A",0.105646860720473,0.185379407641118,2.97299698591568,0.0623543880196775,0.950280617324065,NA,FALSE,"kinesin family member 26A%2C transcript variant X1;transcript_id=XM_045823618.1",NA,NA
"KIF26B",1.72083172018083,-0.336926844942964,0.680232152019492,-0.495311554948831,0.62038021570451,0.772295175090428,FALSE,"kinesin family member 26B;transcript_id=XM_045860137.1",NA,NA
"KIF27",42.8455774094828,-0.203412510936685,0.115427714544598,-1.76225018176282,0.0780270369348043,0.175605288311575,FALSE,"kinesin family member 27;transcript_id=XM_045840979.1",NA,NA
"KIF2A",229.190481966448,-0.260260663879362,0.06414882782466,-4.05713826277138,4.96776755157521e-05,0.000244021804826421,TRUE,"kinesin family member 2A%2C transcript variant X2;transcript_id=XM_045847753.1",NA,NA
"KIF2B",0,NA,NA,NA,NA,NA,FALSE,"kinesin family member 2B;transcript_id=XM_045837325.1",NA,NA
"KIF2C",16.7792076314718,0.178916443838001,0.182340842715124,0.981219792416593,0.326484365853054,0.50994378318152,FALSE,"kinesin family member 2C;transcript_id=XM_045859131.1",NA,NA
