"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"DSC1",0.211911934674443,-0.426239020055087,2.92568620266227,-0.145688563478621,0.884167250057692,NA,FALSE,"desmocollin 1%2C transcript variant X1;transcript_id=XM_045850012.1",NA,NA
"LOC123824520",0.100736761193675,-0.426780706533759,2.92970875478839,-0.145673424307525,0.884179201866942,NA,FALSE,"transforming protein RhoA-like%2C transcript variant X1;transcript_id=XM_045847700.1",NA,NA
"PLEKHN1",0.166382066859988,0.426390175078251,2.92755259460579,0.145647315052137,0.884199814209294,NA,FALSE,"pleckstrin homology domain containing N1;transcript_id=XM_045858434.1",NA,NA
"TCIM",0.254837277469535,-0.341165211642052,2.34369899449652,-0.145566991513491,0.884263227320243,NA,FALSE,"transcriptional and immune response regulator;transcript_id=XM_045821480.1",NA,NA
"LOC123809045",1.24754352682142,-0.0685840270599792,0.471177235785958,-0.145558872226873,0.884269637303502,0.931017273899136,FALSE,"small nucleolar RNA SNORA38;transcript_id=XR_006783921.1",NA,NA
"LOC123815994",1.16905296544117,0.0638865428278436,0.438911885027699,0.145556648172814,0.884271393142492,0.931017273899136,FALSE,"small nucleolar RNA SNORD25;transcript_id=XR_006785208.1",NA,NA
"LOC123806018",0.0596668944634748,-0.426150911422818,2.92937258266765,-0.145475148482048,0.884335735646196,NA,FALSE,"uncharacterized LOC123806018;transcript_id=XR_006783408.1",NA,NA
"LOC123823936",0.334527751197817,-0.289201678263883,1.98829028157137,-0.145452442706365,0.884353661573488,NA,FALSE,"androgen-dependent TFPI-regulating protein","ADTRP","androgen dependent TFPI regulating protein"
"LOC123817677",0.100013818445259,0.425657672248043,2.92863508124837,0.145343363184259,0.884439779323729,NA,FALSE,"uncharacterized LOC123817677;transcript_id=XR_006785475.1",NA,NA
"FAM181B",0.0932545916039466,-0.425313647977774,2.92935874487891,-0.145190017686057,0.884560847154631,NA,FALSE,"family with sequence similarity 181 member B;transcript_id=XM_045818140.1",NA,NA
"LOC123813190",0.0623333181521117,-0.425169009546208,2.9293530902709,-0.145140922396244,0.884599608955194,NA,FALSE,"U6 spliceosomal RNA;transcript_id=XR_006784683.1",NA,NA
"LOC123823232",4.70325623108214,-0.0333369910670711,0.229773801587532,-0.145086127472942,0.884642871066695,0.931293940460109,FALSE,"uncharacterized LOC123823232;transcript_id=XR_006786501.1",NA,NA
"CDH22",0.166084292932048,-0.424837622966732,2.9293737271428,-0.145026774504837,0.884689732269004,NA,FALSE,"cadherin 22;transcript_id=XM_045833213.1",NA,NA
"IL26",0.490889350169859,0.161317046198891,1.11234712677307,0.145024014820691,0.884691911144025,NA,FALSE,"interleukin 26;transcript_id=XM_045830053.1",NA,NA
"MON1B",157.40357553174,-0.00823555654254222,0.0567889506589115,-0.14502040356419,0.884694762368949,0.931293940460109,FALSE,"MON1 homolog B%2C secretory trafficking associated%2C transcript variant X3;transcript_id=XM_045818533.1",NA,NA
"LOC123830439",1.40112871408115,0.0590306768456289,0.407100971052385,0.145002544928916,0.88470886246548,0.931293940460109,FALSE,"uncharacterized LOC123830439%2C transcript variant X1;transcript_id=XR_006787767.1",NA,NA
"SLC25A10",0.881336120853828,0.0713562734091551,0.493476492745436,0.144599133815205,0.88502738116179,0.931567915421911,FALSE,"solute carrier family 25 member 10;transcript_id=XM_045836149.1",NA,NA
"HMCN1",0.22972216185197,0.423026520818074,2.92722282375393,0.144514629151318,0.88509410531656,NA,FALSE,"hemicentin 1;transcript_id=XM_045838584.1",NA,NA
"SMIM41",0.134352061035914,0.422883786749813,2.92791862672534,0.144431536754413,0.885159715152024,NA,FALSE,"small integral membrane protein 41;transcript_id=XM_045829943.1",NA,NA
"TLL1",0.138480726268413,-0.423004980905973,2.92891415928865,-0.144423823267224,0.885165805768778,NA,FALSE,"tolloid like 1;transcript_id=XM_045831767.1",NA,NA
