"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"TDP2",15.4877400283922,-0.301853194673202,0.142179402425158,-2.12304447426619,0.0337501252151936,0.158654173009475,FALSE,"tyrosyl-DNA phosphodiesterase 2%2C transcript variant X1;transcript_id=XM_045861719.1",NA,NA
"TDRD1",6.3922404799419,0.0149281996866189,0.205031557087546,0.0728092782334219,0.94195788759295,0.973853614361498,FALSE,"tudor domain containing 1;transcript_id=XM_045854524.1",NA,NA
"TDRD10",0.290477775740498,0.119516504282849,0.77552850276034,0.15410975077957,0.877523200118371,NA,FALSE,"tudor domain containing 10;transcript_id=XM_045816944.1",NA,NA
"TDRD12",0.0100066988223783,-0.00651704749838721,3.26654375307195,-0.00199508960878249,0.998408149859763,NA,FALSE,"tudor domain containing 12;transcript_id=XM_045846646.1",NA,NA
"TDRD15",0.0324813024925636,-0.0316275363316976,3.26654375307195,-0.00968226318779725,0.992274792390518,NA,FALSE,"tudor domain containing 15;transcript_id=XM_045844338.1",NA,NA
"TDRD3",555.982124858702,0.138648960080016,0.105367521565131,1.31586050445642,0.188220867099829,0.42615683210933,FALSE,"tudor domain containing 3%2C transcript variant X2;transcript_id=XM_045839149.1",NA,NA
"TDRD5",0.718491166039523,1.4558007313221,0.51910646295922,2.80443576645753,0.00504047298485047,NA,FALSE,"tudor domain containing 5%2C transcript variant X1;transcript_id=XM_045838817.1",NA,NA
"TDRD6",14.9337041864267,0.366242510324382,0.197628279175641,1.85318878377161,0.063855304744801,0.233061364734371,FALSE,"tudor domain containing 6%2C transcript variant X2;transcript_id=XM_045843829.1",NA,NA
"TDRD7",170.718164701817,0.340109216390231,0.0961908972827269,3.53577340473883,0.000406583278473083,0.00838025295855462,TRUE,"tudor domain containing 7%2C transcript variant X1;transcript_id=XM_045840828.1",NA,NA
"TDRD9",1.99578907993417,0.247607174464532,0.273035829141812,0.906866967763149,0.364477150970675,0.612294822531105,FALSE,"tudor domain containing 9;transcript_id=XM_045821971.1",NA,NA
"TDRKH",0.623013374141382,0.0123662575390665,0.465180357187336,0.0265837913144867,0.978791701348883,NA,FALSE,"tudor and KH domain containing;transcript_id=XM_045816808.1",NA,NA
"TEAD1",56.1470991921067,-0.07738182876271,0.15623336101783,-0.495296447945449,0.620390877896838,0.804211216234433,FALSE,"TEA domain transcription factor 1%2C transcript variant X9;transcript_id=XM_045825358.1",NA,NA
"TEAD2",2.13836708561729,-0.187647004480765,0.271689943686995,-0.690665992028571,0.489775465641258,0.713164106767619,FALSE,"TEA domain transcription factor 2%2C transcript variant X1;transcript_id=XM_045856471.1",NA,NA
"TEAD3",0.695819981368932,0.0866770613965661,0.457303566494523,0.189539438891746,0.849670047493346,NA,FALSE,"TEA domain transcription factor 3;transcript_id=XM_045834433.1",NA,NA
"TEAD4",65.2636925556143,0.0178596420005158,0.0831413668752992,0.21481054103071,0.829915034186936,0.92410328482476,FALSE,"TEA domain transcription factor 4%2C transcript variant X1;transcript_id=XM_045830491.1",NA,NA
"TEC",95.7598593042196,0.265112640985969,0.115435547974654,2.29662912020982,0.0216399359878479,0.121278847885735,FALSE,"tec protein tyrosine kinase%2C transcript variant X1;transcript_id=XM_045834408.1",NA,NA
"TECPR1",5.17646596527558,-0.298318302065976,0.209592790211113,-1.42332330117603,0.154642455226748,0.384652066102449,FALSE,"tectonin beta-propeller repeat containing 1%2C transcript variant X2;transcript_id=XM_045821614.1",NA,NA
"TECPR2",16.4561996599295,-0.131558924786124,0.141473414170523,-0.929919770138235,0.35241262594119,0.601302830989648,FALSE,"tectonin beta-propeller repeat containing 2;transcript_id=XM_045821978.1",NA,NA
"TECR",50.5598883932449,0.0932838923676005,0.0751665954054332,1.24102856946555,0.21459519504523,0.459834567648284,FALSE,"trans-2%2C3-enoyl-CoA reductase;transcript_id=XM_045853083.1",NA,NA
"TECRL",0.00766735386460459,0.106090361459268,3.26654375307195,0.0324778632949576,0.974090969246856,NA,FALSE,"trans-2%2C3-enoyl-CoA reductase like%2C transcript variant X2;transcript_id=XM_045834372.1",NA,NA
"TECTB",6.03032448279931,0.991375959316016,0.29505055167478,3.36002069370392,0.000779366346022772,0.0135482465140267,TRUE,"tectorin beta;transcript_id=XM_045854008.1",NA,NA
"TEDC1",4.44317235807481,-0.328945934293171,0.199668422925221,-1.64746097291692,0.099463331645092,0.302793268775,FALSE,"tubulin epsilon and delta complex 1%2C transcript variant X1;transcript_id=XM_045823385.1",NA,NA
"TEDC2",2.63819016973731,-0.0106121517063905,0.24678271894731,-0.0430020049688176,0.965699935599699,0.984941478259407,FALSE,"tubulin epsilon and delta complex 2%2C transcript variant X2;transcript_id=XM_045820797.1",NA,NA
"TEF",6.15090724696923,-0.0683375383893001,0.192373676404506,-0.355233312927941,0.722414809960888,0.866777902342883,FALSE,"TEF transcription factor%2C PAR bZIP family member%2C transcript variant X3;transcript_id=XM_045834859.1",NA,NA
"TEFM",3.92758515066628,0.107730887213764,0.201333304447352,0.535087264918633,0.592589515709628,0.787519981221549,FALSE,"transcription elongation factor%2C mitochondrial%2C transcript variant X1;transcript_id=XM_045837071.1",NA,NA
"TEK",1.37614486142733,0.139203547339996,0.367140322925562,0.379156248027324,0.704571839131568,0.855449293120601,FALSE,"TEK receptor tyrosine kinase%2C transcript variant X3;transcript_id=XM_045840675.1",NA,NA
"TEKT1",0.235282000614415,0.381278671822549,0.90906753954324,0.419417320757181,0.674911167716805,NA,FALSE,"tektin 1;transcript_id=XM_045824540.1",NA,NA
"TEKT2",2.8896875094726,0.0940090225682001,0.244644653423714,0.384267635742606,0.700780092938366,0.853503664917637,FALSE,"tektin 2;transcript_id=XM_045859542.1",NA,NA
"TEKT3",0.257277914525751,0.813393179156727,0.983605551229381,0.826950578044308,0.408265074219638,NA,FALSE,"tektin 3;transcript_id=XM_045824590.1",NA,NA
"TEKT4",0.0181500783472763,-0.00784376454344367,3.26654375307195,-0.00240124276188469,0.998084087314734,NA,FALSE,"tektin 4;transcript_id=XM_045849296.1",NA,NA
"TEKT5",0.0155512331776483,0.152534911572799,3.26654375307195,0.0466961177021894,0.962755424597197,NA,FALSE,"tektin 5;transcript_id=XM_045819631.1",NA,NA
"TELO2",27.6603803037525,-0.161318787117438,0.107288363483643,-1.50360003526414,0.132684382065726,0.355128591231643,FALSE,"telomere maintenance 2;transcript_id=XM_045820919.1",NA,NA
"TEN1",2.93611911124674,-0.218062639765617,0.239483822462008,-0.910552694223052,0.362531105370625,0.610609722397842,FALSE,"TEN1 subunit of CST complex;transcript_id=XM_045835649.1",NA,NA
"TENM1",10.9415668015242,-0.247287873973201,0.146260100113058,-1.69074049437987,0.0908863766224889,0.286182626322476,FALSE,"teneurin transmembrane protein 1;transcript_id=XM_045852186.1",NA,NA
