"","Sample_no","Phase","Phase.batch","Univ.ID","Band","Yr","Mon","Ban_Yr_Mo","Trtmt","Additive","Temp","Duration","SampleTime","DecTime","Sex","Age.all.bat.","Est.Age","Cave","Site","Group","FA","WT","TTH","STATUS","REP","LN.N.L..","X"
"Phase2.S18","S18",2,"Phase2","Phase2.S18",4967,2023,1,"4967_2023_1","CL","PBS","22C",3,"11:45 am",11.75,"F",20.27,11,"Caura","Lower","C4",84,80.5,4,"","NP",1.352568726,""
"Phase2.S19","S19",2,"Phase2","Phase2.S19",6001,2023,1,"6001_2023_1","TL","LPS0.1","22C",3,"11:50 am",11.83,"M",5.71,5.71,"Tamana","Rd Chamber","R12",82.84,91,3,"H","ST",0.940709259,""
"Phase2.S2","S2",2,"Phase2","Phase2.S2",4068,2023,1,"4068_2023_1","CL","PBS","22C",3,"11:45 am",11.75,"F",15.94,15.94,"Caura","Lower","C4",81.74,67.5,4,"","NP",0.424057941,""
"Phase2.S20","S20",2,"Phase2","Phase2.S20",6001,2023,1,"6001_2023_1","CL","PBS","22C",3,"11:50 am",11.83,"M",5.71,5.71,"Tamana","Rd Chamber","R12",82.84,91,3,"H","ST",0.940709259,""
"Phase2.S21","S21",2,"Phase2","Phase2.S21",6036,2023,1,"6036_2023_1","TL","LPS0.1","22C",3,"12:10 pm",12.17,"M",5,5,"Tamana","Rd Chamber","R7",84.78,89,2,"H","ST",1.49466999,""
"Phase2.S22","S22",2,"Phase2","Phase2.S22",6036,2023,1,"6036_2023_1","CL","PBS","22C",3,"12:10 pm",12.17,"M",5,5,"Tamana","Rd Chamber","R7",84.78,89,2,"H","ST",1.49466999,""
"Phase2.S23","S23",2,"Phase2","Phase2.S23",6037,2023,1,"6037_2023_1","TL","LPS0.1","22C",3,"10:50 am",10.83,"M",7.36,7.36,"Tamana","Rd Chamber","R9",86.54,91,3,"H","ST",0.720026269,""
"Phase2.S24","S24",2,"Phase2","Phase2.S24",6037,2023,1,"6037_2023_1","CL","PBS","22C",3,"10:50 am",10.83,"M",7.36,7.36,"Tamana","Rd Chamber","R9",86.54,91,3,"H","ST",0.720026269,""
"Phase2.S25","S25",2,"Phase2","Phase2.S25",6053,2023,1,"6053_2023_1","TL","LPS0.1","22C",3,"11:30 am",11.5,"M",6.52,6.52,"Tamana","Rd Chamber","R14",85.73,95.1,2.5,"H","ST",NA,""
"Phase2.S26","S26",2,"Phase2","Phase2.S26",6053,2023,1,"6053_2023_1","CL","PBS","22C",3,"11:30 am",11.5,"M",6.52,6.52,"Tamana","Rd Chamber","R14",85.73,95.1,2.5,"H","ST",NA,""
"Phase2.S27","S27",2,"Phase2","Phase2.S27",6089,2023,1,"6089_2023_1","TL","LPS0.1","22C",3,"1:30 pm",13.5,"M",2.82,2.82,"Caura","Upper Cave","BM",82.67,85.5,2.5,"B","ST",1.19911521,""
"Phase2.S28","S28",2,"Phase2","Phase2.S28",6089,2023,1,"6089_2023_1","CL","PBS","22C",3,"1:30 pm",13.5,"M",2.82,2.82,"Caura","Upper Cave","BM",82.67,85.5,2.5,"B","ST",1.19911521,""
"Phase2.S29","S29",2,"Phase2","Phase2.S29",6090,2023,1,"6090_2023_1","TL","LPS0.1","22C",3,"1:30 pm",13.5,"M",2.04,2.04,"Caura","Upper Cave","BM",81.75,75,3,"B","AT",0.832757619,""
"Phase2.S3","S3",2,"Phase2","Phase2.S3",4593,2023,1,"4593_2023_1","TL","LPS0.1","22C",3,"11:45 am",11.75,"F",10.3,10.3,"Caura","Lower","C4",82.35,78.5,4,"","NP",1.217959046,""
"Phase2.S30","S30",2,"Phase2","Phase2.S30",6090,2023,1,"6090_2023_1","CL","PBS","22C",3,"1:30 pm",13.5,"M",2.04,2.04,"Caura","Upper Cave","BM",81.75,75,3,"B","AT",0.832757619,""
"Phase2.S31","S31",2,"Phase2","Phase2.S31",6199,2023,1,"6199_2023_1","TL","LPS0.1","22C",3,"1:30 pm",13.5,"M",7.61,7.61,"Tamana","Rd Chamber","R10",82.86,93,3.5,"H","ST",2.49219981,""
"Phase2.S32","S32",2,"Phase2","Phase2.S32",6199,2023,1,"6199_2023_1","CL","PBS","22C",3,"1:30 pm",13.5,"M",7.61,7.61,"Tamana","Rd Chamber","R10",82.86,93,3.5,"H","ST",2.49219981,""
"Phase2.S4","S4",2,"Phase2","Phase2.S4",4593,2023,1,"4593_2023_1","CL","PBS","22C",3,"11:45 am",11.75,"F",10.3,10.3,"Caura","Lower","C4",82.35,78.5,4,"","NP",1.217959046,""
"Phase2.S5","S5",2,"Phase2","Phase2.S5",4610,2023,1,"4610_2023_1","TL","LPS0.1","22C",3,"10:50 am",10.83,"F",11.98,11.98,"Tamana","Rd Chamber","R9",83.31,72,4,"","NP",0.781295567,""
"Phase2.S6","S6",2,"Phase2","Phase2.S6",4610,2023,1,"4610_2023_1","CL","PBS","22C",3,"10:50 am",10.83,"F",11.98,11.98,"Tamana","Rd Chamber","R9",83.31,72,4,"","NP",0.781295567,""
"Phase2.S7","S7",2,"Phase2","Phase2.S7",4672,2023,1,"4672_2023_1","TL","LPS0.1","22C",3,"10:50 am",10.83,"F",9.34,9.34,"Tamana","Rd Chamber","L13",82.1,76.8,4,"","NP",-0.397601372,""
"Phase2.S8","S8",2,"Phase2","Phase2.S8",4672,2023,1,"4672_2023_1","CL","PBS","22C",3,"10:50 am",10.83,"F",9.34,9.34,"Tamana","Rd Chamber","L13",82.1,76.8,4,"","NP",-0.397601372,""
"Phase2.S9","S9",2,"Phase2","Phase2.S9",4762,2023,1,"4762_2023_1","TL","LPS0.1","22C",3,"12:00 pm",12,"M",5.51,5.51,"Tamana","Tunnel","T1",82.89,92,2,"H","ST",-0.042559614,""
"Phase3.S1","S1",3,"Phase3","Phase3.S1",3863,2023,5,"3863_2023_5","C","PBS","38C",3,"1:10 pm",13.17,"F",13.79,12.11,"Tamana","Rd Chamber","R14",82.11,80,5,"","EL",-0.412572459,""
"Phase3.S10","S10",3,"Phase3","Phase3.S10",4732,2023,5,"4732_2023_5","TH","LPS_1","38C",3,"1:44 pm",13.73,"M",3.16,3.16,"Tamana","Lg Chamber","L12",85.6,95,1.5,"B","AT",0.221737411,""
"Phase3.S11","S11",3,"Phase3","Phase3.S11",4778,2023,5,"4778_2023_5","C","PBS","38C",3,"12:53 pm",12.88,"F",1.35,1.1,"Tamana","Lg Chamber","L2",84.97,76,1,"","NL",-0.189242,""
"Phase3.S12","S12",3,"Phase3","Phase3.S12",4778,2023,5,"4778_2023_5","TH","LPS_1","38C",3,"12:53 pm",12.88,"F",1.35,1.1,"Tamana","Lg Chamber","L2",84.97,76,1,"","NL",-0.189242,""
