miRNA	2311_C0	2311_TH	3990_C0	3990_TH	4750_C0	4750_TH	4789_C0	4789_TH	6029_C0	6029_TH	6037_C0	6037_TH	6250_C0	6250_TH	6272_C0	6272_TH	6323_C0	6323_TH	6334_C0	6334_TH	6342_C0	6342_TH	6383_C0	6383_TH	6417_C0	6417_TH	6421_C0	6421_TH	6422_C0	6422_TH	6435_C0	6435_TH	6439_C0	6439_TH	6440_C0	6440_TH	6446_C0	6446_TH	6447_C0	6447_TH
efu-miR-133-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-136	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-1388	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-138a	22.00	22.00	33.00	9.00	85.00	44.00	65.00	50.00	69.00	70.00	76.00	57.00	71.00	36.00	64.00	26.00	76.00	81.00	90.00	52.00	48.00	35.00	52.00	38.00	63.00	57.00	99.00	72.00	13.00	19.00	48.00	62.00	51.00	51.00	167.00	119.00	4.00	38.00	40.00	29.00
efu-miR-138b	24.00	23.00	31.00	12.00	106.00	49.00	64.00	53.00	81.00	82.00	77.00	61.00	78.00	42.00	63.00	26.00	84.00	90.00	100.00	54.00	48.00	37.00	58.00	38.00	77.00	71.00	100.00	79.00	14.00	24.00	58.00	74.00	59.00	55.00	166.00	137.00	4.00	39.00	43.00	35.00
efu-miR-140	80.00	72.00	220.00	127.00	211.00	94.00	242.00	113.00	427.00	227.00	276.00	242.00	139.00	123.00	151.00	60.00	429.00	390.00	358.00	172.00	318.00	103.00	118.00	243.00	378.00	140.00	333.00	190.00	178.00	99.00	190.00	110.00	294.00	153.00	393.00	329.00	134.00	154.00	254.00	148.00
efu-miR-145	7.00	13.00	33.00	11.00	20.00	5.00	22.00	16.00	51.00	49.00	13.00	23.00	10.00	4.00	4.00	8.00	21.00	48.00	52.00	18.00	5.00	6.00	7.00	15.00	39.00	42.00	11.00	14.00	17.00	2.00	7.00	5.00	5.00	11.00	11.00	19.00	9.00	15.00	14.00	16.00
efu-miR-149	0.00	0.00	3.00	3.00	3.00	7.00	2.00	0.00	2.00	1.00	1.00	0.00	1.00	2.00	1.00	0.00	2.00	7.00	1.00	2.00	0.00	1.00	4.00	0.00	4.00	10.00	5.00	3.00	0.00	1.00	0.00	1.00	1.00	1.00	5.00	1.00	0.00	0.00	2.00	0.00
efu-miR-15	47274.00	57127.00	103580.00	60851.00	95864.00	72259.00	115376.00	92126.00	160175.00	119074.00	170885.00	153574.00	109973.00	101283.00	53211.00	24991.00	188162.00	214188.00	165475.00	87833.00	132434.00	68905.00	57617.00	104965.00	114144.00	111018.00	150859.00	140851.00	120054.00	99192.00	51856.00	71628.00	167367.00	106805.00	203096.00	162062.00	23807.00	102518.00	78067.00	103615.00
efu-miR-150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
