miRNA	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count
efu-miR-205	0	2	8	2	4	0	3	5	10	11	1	1	2	0	1	1	0	7	3	7	3	1	6	2	4	1	3	7	0	0	1	2	2	6	3	3	0	1	6	2
efu-miR-211	0	1	1	0	0	0	0	0	1	0	1	0	4	0	0	0	0	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0
efu-miR-215	1	0	6	5	4	0	7	1	13	9	6	6	2	0	7	1	5	8	9	3	7	0	1	7	10	18	14	3	7	3	4	5	3	1	12	8	0	2	5	1
efu-miR-218a	0	3	1	1	0	0	0	3	1	4	2	1	1	2	0	0	0	2	1	3	3	1	0	0	0	2	1	0	1	2	0	0	1	0	4	0	0	0	2	0
efu-miR-218b	0	3	1	1	0	0	0	3	1	4	2	1	1	2	0	0	0	2	1	3	3	1	0	0	0	0	1	0	1	2	0	0	1	0	4	0	0	0	2	0
efu-miR-219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-221	21	30	40	22	46	37	49	33	54	54	56	39	76	39	28	29	73	64	70	35	34	26	52	66	81	89	44	39	28	18	12	16	56	25	61	53	18	44	35	32
efu-miR-222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-26a	16415	17915	22946	13697	41688	28052	37206	22363	39330	37733	44942	38866	41365	28969	33636	19781	42229	50793	39688	29610	37591	24148	30129	34647	45237	41710	42664	37526	26697	26721	17556	20777	42643	30159	64213	42708	7904	27073	26476	31899
efu-miR-26b	39419	40914	45687	32828	79259	59528	112833	72082	122749	124777	92361	86045	130788	85328	101885	55232	88094	92159	120211	92925	81987	56615	74982	99282	123833	96489	138018	119496	63656	65456	56455	54618	122366	86355	190701	124402	12013	44197	72536	83002
efu-miR-26c	16423	17916	22954	13699	41704	28054	37205	22368	39328	37744	44961	38892	41366	28981	33656	19787	42247	50802	39740	29638	37600	24145	30140	34648	45252	41726	42687	37549	26709	26727	17553	20775	42643	30161	64239	42739	7904	27087	26490	31920
efu-miR-27a	2	1	2	0	6	3	3	3	6	6	2	3	4	1	3	1	2	3	5	4	3	0	0	1	0	3	7	2	1	2	2	1	6	10	4	2	0	3	2	6
efu-miR-28	532	569	840	493	1241	703	1778	1023	1854	1526	1219	1054	1482	1117	1340	668	1074	1126	1689	1153	1161	735	958	933	1562	1329	1991	1422	1144	1047	496	618	1933	1129	2839	1508	322	1059	866	1141
efu-miR-299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-30b	934	956	1467	785	2369	1576	2141	1628	4267	3484	4053	3030	2130	1689	1603	606	2203	2695	2750	2166	2593	1692	1679	2935	4427	3582	2628	2248	1554	1455	1284	1382	2481	1339	3027	2520	1082	2031	1486	2291
efu-miR-33	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
efu-miR-338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-34a	44	59	51	28	128	78	57	58	77	126	155	185	97	95	176	42	82	93	372	274	48	48	34	15	201	249	214	224	45	60	27	59	67	47	102	139	20	107	124	107
efu-miR-376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-379	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	31	32	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	2	0
efu-miR-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-423	21994	33994	49617	19344	66994	42530	53229	49966	40767	78584	39010	50718	67299	67918	39081	30745	60570	88737	83084	83752	45004	54959	40772	14909	39711	57866	55204	66325	28163	41630	25660	46274	76593	107558	117881	87448	5981	35945	31972	53310
efu-miR-449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-4667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-486	1378730	2547519	4654021	1853110	3329425	2432738	3351039	2860369	3386761	4909291	3130927	3398881	3768080	3695835	2326436	2070726	3690926	5629501	5490841	4465751	3355966	2491919	3644780	2288403	4415300	5239399	3086269	4039538	1367427	1699182	1534274	2382770	4066849	5039297	6110285	5491390	1270054	2068122	2554405	3255323
efu-miR-493	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
