,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA
hsa-let-7d-5p,524.26927986252,0.230954551359048,0.15624051080593,1.47819890096188,0.139354548001633,0.325091375164033,FALSE,hsa-let-7d-5p
mlu-leT-7d-5p,524.26927986252,0.230954551359048,0.15624051080593,1.47819890096188,0.139354548001633,0.325091375164033,FALSE,mlu-leT-7d-5p
mmy-can-380,524.129395707017,0.230917448613104,0.156317845820359,1.47723023818071,0.139613930827707,0.325091375164033,FALSE,mmy-can-380
mmy-can-378,10.7281654394585,-0.399124592400935,0.282833862017824,-1.41116268594381,0.158196649816079,0.366590313516107,FALSE,mmy-can-378
mmu-miR-29c-5p,10.9770646080132,-0.336522288638206,0.242696649617193,-1.38659635050177,0.165564881786579,0.381829057517374,FALSE,mmu-miR-29c-5p
mlu-miR-9-3p,62.6338046327806,-0.205402787362429,0.149373455853592,-1.37509563656178,0.169101796971897,0.387265153457581,FALSE,mlu-miR-9-3p
mmy-can-528,60.3609503893186,-0.220634137442602,0.160610821934179,-1.37371899841856,0.169528936472094,0.387265153457581,FALSE,mmy-can-528
pha-miR-165,2.13297008563631,0.627118670895399,0.460879423641995,1.36070008493704,0.17360848776057,0.394713637266955,FALSE,pha-miR-165
mmu-miR-9-5p,186.311241799704,-0.202994432764752,0.15323142238929,-1.32475721754404,0.185251688803133,0.418354501487738,FALSE,mmu-miR-9-5p
mmy-can-420,62.103747266568,-0.203743657047602,0.153977558672214,-1.32320358112269,0.185767685422905,0.418354501487738,FALSE,mmy-can-420
pha-miR-115,34.8069047346404,0.255018619411104,0.193097468911814,1.32067303030041,0.186610410414655,0.418354501487738,FALSE,pha-miR-115
pha-miR-174,0.757617516825508,1.09618565884991,0.830371772235614,1.32011430964067,0.186796855839707,NA,FALSE,pha-miR-174
mlu-leT-7A-1-3p,1.50035737577754,-0.693648740492553,0.527298522353057,-1.31547635938208,0.188349857401341,NA,FALSE,mlu-leT-7A-1-3p
mlu-leT-7G-3p,0.981098722075978,-0.914102352371841,0.695032726719886,-1.31519325238946,0.188444962322557,NA,FALSE,mlu-leT-7G-3p
pha-miR-143,4.4475825540439,0.405724074988165,0.30938065804985,1.31140736963198,0.189720170334157,0.42168772478202,FALSE,pha-miR-143
hsa-miR-99a-5p,10456.8602054533,-0.270746921218119,0.206922388617378,-1.30844672259588,0.190721834030042,0.42168772478202,FALSE,hsa-miR-99a-5p
mlu-miR-99A-5p,10456.8602054533,-0.270746921218119,0.206922388617378,-1.30844672259588,0.190721834030042,0.42168772478202,FALSE,mlu-miR-99A-5p
mmy-can-482,10329.7374744025,-0.26948100797479,0.206676769602052,-1.30387662093648,0.192275652693579,0.423182030129248,FALSE,mmy-can-482
pha-miR-193,0.432231036989264,-1.110226899891,0.864886075452251,-1.28366837136378,0.199258015654966,NA,FALSE,pha-miR-193
mmy-can-358,9337.84573815586,0.128713162729174,0.100402785790042,1.28196804218494,0.199853857097243,0.437861632367596,FALSE,mmy-can-358
mlu-miR-181d-3p,1.60336266749622,-0.75189996725061,0.590634447661019,-1.27303778204644,0.20300463516363,NA,FALSE,mlu-miR-181d-3p
mmy-can-452,4.6298573524467,0.447971002669254,0.352080578933801,1.27235363002934,0.203247501593164,0.442274596744607,FALSE,mmy-can-452
mlu-miR-221-3p,309.032801914684,0.151416161693543,0.119124824849621,1.27107143187564,0.203703237504778,0.442274596744607,FALSE,mlu-miR-221-3p
pha-miR-175,0.635023162851323,-0.947681779767015,0.753464335896977,-1.25776594142154,0.208476416421836,NA,FALSE,pha-miR-175
pha-miR-16,159.887332161136,0.298708515506097,0.237680367333901,1.25676562543536,0.208838516727792,0.450833607971513,FALSE,pha-miR-16
mmy-can-418,0.759392901158535,-1.12810328546023,0.898388780443725,-1.25569609729882,0.209226174733631,NA,FALSE,mmy-can-418
mmy-can-473,779.801050783649,-0.324597374749967,0.258728969961323,-1.25458457473274,0.209629605980377,0.450833607971513,FALSE,mmy-can-473
mmy-can-428,14.7535669268383,-0.457466586691944,0.365293750924186,-1.25232524655722,0.210451373015748,0.450833607971513,FALSE,mmy-can-428
