gene	description
LOC123814305	U1 spliceosomal RNA;transcript_id=XR_006784885.1
GULP1	GULP PTB domain containing engulfment adaptor 1%2C transcript variant X3;transcript_id=XM_045830886.1
GULP1	GULP PTB domain containing engulfment adaptor 1%2C transcript variant X1;transcript_id=XM_045830867.1
GULP1	GULP PTB domain containing engulfment adaptor 1%2C transcript variant X4;transcript_id=XM_045830895.1
GULP1	GULP PTB domain containing engulfment adaptor 1%2C transcript variant X2;transcript_id=XM_045830877.1
GULP1	GULP PTB domain containing engulfment adaptor 1%2C transcript variant X5;transcript_id=XM_045830905.1
GULP1	GULP PTB domain containing engulfment adaptor 1%2C transcript variant X7;transcript_id=XM_045830923.1
GULP1	GULP PTB domain containing engulfment adaptor 1%2C transcript variant X6;transcript_id=XM_045830915.1
LOC123814320	U1 spliceosomal RNA;transcript_id=XR_006784887.1
LOC123814410	U6 spliceosomal RNA;transcript_id=XR_006784905.1
TFPI	tissue factor pathway inhibitor;transcript_id=XM_045818936.1
CALCRL	calcitonin receptor like receptor%2C transcript variant X1;transcript_id=XM_045830482.1
CALCRL	calcitonin receptor like receptor%2C transcript variant X2;transcript_id=XM_045830490.1
CALCRL	calcitonin receptor like receptor%2C transcript variant X4;transcript_id=XM_045830508.1
CALCRL	calcitonin receptor like receptor%2C transcript variant X3;transcript_id=XM_045830501.1
ZSWIM2	zinc finger SWIM-type containing 2;transcript_id=XM_045827291.1
FAM171B	family with sequence similarity 171 member B;transcript_id=XM_045830434.1
ITGAV	integrin subunit alpha V%2C transcript variant X2;transcript_id=XM_045841044.1
ITGAV	integrin subunit alpha V%2C transcript variant X1;transcript_id=XM_045840977.1
ZC3H15	zinc finger CCCH-type containing 15;transcript_id=XM_045831474.1
FSIP2	fibrous sheath interacting protein 2;transcript_id=XM_045832134.1
ZNF804A	zinc finger protein 804A;transcript_id=XM_045859580.1
LOC123807164	succinate dehydrogenase cytochrome b560 subunit%2C mitochondrial-like;transcript_id=XM_045821163.1
NUP35	nucleoporin 35%2C transcript variant X2;transcript_id=XR_006784788.1
