gene	description
CNBD2	cyclic nucleotide binding domain containing 2%2C transcript variant X2;transcript_id=XM_045832717.1
CNBD2	cyclic nucleotide binding domain containing 2%2C transcript variant X1;transcript_id=XM_045832715.1
SCAND1	SCAN domain containing 1;transcript_id=XM_045833238.1
PHF20	PHD finger protein 20%2C transcript variant X2;transcript_id=XM_045832928.1
PHF20	PHD finger protein 20%2C transcript variant X1;transcript_id=XM_045832927.1
LOC123815450	U6 spliceosomal RNA;transcript_id=XR_006785107.1
RBM39	RNA binding motif protein 39%2C transcript variant X2;transcript_id=XM_045833633.1
RBM39	RNA binding motif protein 39%2C transcript variant X4;transcript_id=XM_045833635.1
RBM39	RNA binding motif protein 39%2C transcript variant X5;transcript_id=XM_045833636.1
RBM39	RNA binding motif protein 39%2C transcript variant X6;transcript_id=XM_045833637.1
RBM39	RNA binding motif protein 39%2C transcript variant X1;transcript_id=XM_045833632.1
RBM39	RNA binding motif protein 39%2C transcript variant X3;transcript_id=XM_045833634.1
RBM39	RNA binding motif protein 39%2C transcript variant X7;transcript_id=XM_045833638.1
ROMO1	reactive oxygen species modulator 1%2C transcript variant X1;transcript_id=XM_045833374.1
ROMO1	reactive oxygen species modulator 1%2C transcript variant X2;transcript_id=XM_045833375.1
NFS1	NFS1 cysteine desulfurase;transcript_id=XM_045833373.1
CPNE1	copine 1%2C transcript variant X7;transcript_id=XM_045833548.1
CPNE1	copine 1%2C transcript variant X3;transcript_id=XM_045833544.1
CPNE1	copine 1%2C transcript variant X1;transcript_id=XM_045833542.1
CPNE1	copine 1%2C transcript variant X2;transcript_id=XM_045833543.1
CPNE1	copine 1%2C transcript variant X8;transcript_id=XM_045833549.1
CPNE1	copine 1%2C transcript variant X4;transcript_id=XM_045833545.1
CPNE1	copine 1%2C transcript variant X5;transcript_id=XM_045833546.1
CPNE1	copine 1%2C transcript variant X6;transcript_id=XM_045833547.1
RBM12	RNA binding motif protein 12;transcript_id=XM_045833541.1
SPAG4	sperm associated antigen 4;transcript_id=XM_045833322.1
LOC123814909	fer-1-like protein 4%2C transcript variant X1;transcript_id=XM_045833048.1
LOC123814909	fer-1-like protein 4%2C transcript variant X2;transcript_id=XM_045833049.1
LOC123814909	fer-1-like protein 4%2C transcript variant X3;transcript_id=XM_045833050.1
ERGIC3	ERGIC and golgi 3%2C transcript variant X2;transcript_id=XM_045833024.1
ERGIC3	ERGIC and golgi 3%2C transcript variant X1;transcript_id=XM_045833023.1
CUNH20orf173	chromosome unknown C20orf173 homolog;transcript_id=XM_045833189.1
LOC123815026	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2%2C3-sialyltransferase 2-like;transcript_id=XM_045833190.1
CEP250	centrosomal protein 250%2C transcript variant X6;transcript_id=XM_045832939.1
CEP250	centrosomal protein 250%2C transcript variant X5;transcript_id=XM_045832938.1
CEP250	centrosomal protein 250%2C transcript variant X7;transcript_id=XM_045832940.1
CEP250	centrosomal protein 250%2C transcript variant X1;transcript_id=XM_045832934.1
CEP250	centrosomal protein 250%2C transcript variant X2;transcript_id=XM_045832935.1
CEP250	centrosomal protein 250%2C transcript variant X3;transcript_id=XM_045832936.1
CEP250	centrosomal protein 250%2C transcript variant X4;transcript_id=XM_045832937.1
CEP250	centrosomal protein 250%2C transcript variant X9;transcript_id=XM_045832943.1
CEP250	centrosomal protein 250%2C transcript variant X8;transcript_id=XM_045832942.1
GDF5	growth differentiation factor 5;transcript_id=XM_045833445.1
LOC123815311	ubiquinol-cytochrome-c reductase complex assembly factor 1%2C transcript variant X2;transcript_id=XM_045833588.1
LOC123815311	ubiquinol-cytochrome-c reductase complex assembly factor 1%2C transcript variant X1;transcript_id=XM_045833587.1
FAM83C	family with sequence similarity 83 member C;transcript_id=XM_045832629.1
EIF6	eukaryotic translation initiation factor 6;transcript_id=XM_045833021.1
MMP24OS	MMP24 opposite strand;transcript_id=XM_045833511.1
MMP24	matrix metallopeptidase 24;transcript_id=XM_045833191.1
PROCR	protein C receptor;transcript_id=XM_045833107.1
EDEM2	ER degradation enhancing alpha-mannosidase like protein 2;transcript_id=XM_045833651.1
LOC123815134	transient receptor potential cation channel subfamily C member 4 associated protein;transcript_id=XM_045833337.1
MYH7B	myosin heavy chain 7B%2C transcript variant X3;transcript_id=XM_045833336.1
MYH7B	myosin heavy chain 7B%2C transcript variant X2;transcript_id=XM_045833335.1
MYH7B	myosin heavy chain 7B%2C transcript variant X1;transcript_id=XM_045833334.1
GSS	glutathione synthetase;transcript_id=XM_045833677.1
ACSS2	acyl-CoA synthetase short chain family member 2;transcript_id=XM_045833478.1
GGT7	gamma-glutamyltransferase 7%2C transcript variant X1;transcript_id=XM_045833721.1
GGT7	gamma-glutamyltransferase 7%2C transcript variant X2;transcript_id=XM_045833722.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X2;transcript_id=XM_045832653.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X1;transcript_id=XM_045832652.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X4;transcript_id=XM_045832655.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X7;transcript_id=XM_045832658.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X8;transcript_id=XM_045832660.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X5;transcript_id=XM_045832656.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X6;transcript_id=XM_045832657.1
NCOA6	nuclear receptor coactivator 6%2C transcript variant X3;transcript_id=XM_045832654.1
TP53INP2	tumor protein p53 inducible nuclear protein 2;transcript_id=XM_045833231.1
PIGU	phosphatidylinositol glycan anchor biosynthesis class U%2C transcript variant X1;transcript_id=XM_045832994.1
PIGU	phosphatidylinositol glycan anchor biosynthesis class U%2C transcript variant X2;transcript_id=XM_045832995.1
MAP1LC3A	microtubule associated protein 1 light chain 3 alpha%2C transcript variant X2;transcript_id=XM_045833177.1
MAP1LC3A	microtubule associated protein 1 light chain 3 alpha%2C transcript variant X1;transcript_id=XM_045833176.1
DYNLRB1	dynein light chain roadblock-type 1;transcript_id=XM_045832971.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X5;transcript_id=XM_045832879.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X3;transcript_id=XM_045832877.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X6;transcript_id=XM_045832880.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X2;transcript_id=XM_045832876.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X7;transcript_id=XM_045832881.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X8;transcript_id=XM_045832882.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X1;transcript_id=XM_045832875.1
ITCH	itchy E3 ubiquitin protein ligase%2C transcript variant X4;transcript_id=XM_045832878.1
AHCY	adenosylhomocysteinase;transcript_id=XM_045832915.1
LOC123815029	agouti signaling protein;transcript_id=XM_045833192.1
EIF2S2	eukaryotic translation initiation factor 2 subunit beta;transcript_id=XM_045833470.1
RALY	RALY heterogeneous nuclear ribonucleoprotein%2C transcript variant X2;transcript_id=XM_045833399.1
RALY	RALY heterogeneous nuclear ribonucleoprotein%2C transcript variant X1;transcript_id=XM_045833398.1
RALY	RALY heterogeneous nuclear ribonucleoprotein%2C transcript variant X4;transcript_id=XM_045833401.1
RALY	RALY heterogeneous nuclear ribonucleoprotein%2C transcript variant X3;transcript_id=XM_045833400.1
LOC123815030	translation initiation factor IF-2-like;transcript_id=XM_045833193.1
CHMP4B	charged multivesicular body protein 4B;transcript_id=XM_045833709.1
ZNF341	zinc finger protein 341%2C transcript variant X2;transcript_id=XM_045833283.1
ZNF341	zinc finger protein 341%2C transcript variant X1;transcript_id=XM_045833282.1
PXMP4	peroxisomal membrane protein 4;transcript_id=XM_045833219.1
LOC123815410	small nucleolar RNA SNORA51;transcript_id=XR_006785077.1
E2F1	E2F transcription factor 1;transcript_id=XM_045833194.1
NECAB3	N-terminal EF-hand calcium binding protein 3;transcript_id=XM_045833516.1
ACTL10	actin like 10;transcript_id=XM_045833089.1
CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2%2C transcript variant X2;transcript_id=XM_045832998.1
CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2%2C transcript variant X1;transcript_id=XM_045832997.1
LOC123815412	small nucleolar RNA SNORA48;transcript_id=XR_006785078.1
SNTA1	syntrophin alpha 1;transcript_id=XM_045833582.1
LOC123815465	small nucleolar RNA SNORD22;transcript_id=XR_006785119.1
CDK5RAP1	CDK5 regulatory subunit associated protein 1%2C transcript variant X1;transcript_id=XM_045832983.1
CDK5RAP1	CDK5 regulatory subunit associated protein 1%2C transcript variant X2;transcript_id=XM_045832984.1
LOC123815033	vomeromodulin-like;transcript_id=XM_045833195.1
LOC123815034	vomeromodulin-like;transcript_id=XM_045833196.1
LOC123815129	BPI fold-containing family B member 1-like%2C transcript variant X1;transcript_id=XM_045833327.1
LOC123815129	BPI fold-containing family B member 1-like%2C transcript variant X2;transcript_id=XM_045833328.1
LOC123815129	BPI fold-containing family B member 1-like%2C transcript variant X3;transcript_id=XM_045833329.1
LOC123815035	BPI fold-containing family A member 3-like;transcript_id=XM_045833197.1
BPIFA2	BPI fold containing family A member 2;transcript_id=XM_045833619.1
BPIFB4	BPI fold containing family B member 4;transcript_id=XM_045833489.1
BPIFB3	BPI fold containing family B member 3;transcript_id=XM_045833304.1
BPIFB6	BPI fold containing family B member 6;transcript_id=XM_045833517.1
BPIFB2	BPI fold containing family B member 2%2C transcript variant X2;transcript_id=XM_045833331.1
BPIFB2	BPI fold containing family B member 2%2C transcript variant X1;transcript_id=XM_045833330.1
SUN5	Sad1 and UNC84 domain containing 5;transcript_id=XM_045833611.1
MAPRE1	microtubule associated protein RP/EB family member 1%2C transcript variant X1;transcript_id=XM_045833568.1
MAPRE1	microtubule associated protein RP/EB family member 1%2C transcript variant X2;transcript_id=XM_045833569.1
MAPRE1	microtubule associated protein RP/EB family member 1%2C transcript variant X3;transcript_id=XM_045833570.1
DNMT3B	DNA methyltransferase 3 beta%2C transcript variant X4;transcript_id=XM_045832960.1
DNMT3B	DNA methyltransferase 3 beta%2C transcript variant X2;transcript_id=XM_045832958.1
DNMT3B	DNA methyltransferase 3 beta%2C transcript variant X3;transcript_id=XM_045832959.1
DNMT3B	DNA methyltransferase 3 beta%2C transcript variant X1;transcript_id=XM_045832957.1
DNMT3B	DNA methyltransferase 3 beta%2C transcript variant X5;transcript_id=XM_045832961.1
COMMD7	COMM domain containing 7;transcript_id=XM_045833686.1
LOC123815036	uncharacterized protein C20orf203;transcript_id=XM_045833198.1
NOL4L	nucleolar protein 4 like%2C transcript variant X1;transcript_id=XM_045832909.1
NOL4L	nucleolar protein 4 like%2C transcript variant X2;transcript_id=XM_045832911.1
NOL4L	nucleolar protein 4 like%2C transcript variant X4;transcript_id=XM_045832913.1
NOL4L	nucleolar protein 4 like%2C transcript variant X3;transcript_id=XM_045832912.1
ASXL1	ASXL transcriptional regulator 1%2C transcript variant X2;transcript_id=XM_045832863.1
ASXL1	ASXL transcriptional regulator 1%2C transcript variant X1;transcript_id=XM_045832862.1
KIF3B	kinesin family member 3B%2C transcript variant X2;transcript_id=XM_045832860.1
KIF3B	kinesin family member 3B%2C transcript variant X1;transcript_id=XM_045832859.1
KIF3B	kinesin family member 3B%2C transcript variant X3;transcript_id=XM_045832861.1
POFUT1	protein O-fucosyltransferase 1;transcript_id=XM_045832591.1
PLAGL2	PLAG1 like zinc finger 2%2C transcript variant X1;transcript_id=XM_045832588.1
PLAGL2	PLAG1 like zinc finger 2%2C transcript variant X3;transcript_id=XM_045832590.1
PLAGL2	PLAG1 like zinc finger 2%2C transcript variant X2;transcript_id=XM_045832589.1
LOC123815442	U6 spliceosomal RNA;transcript_id=XR_006785099.1
LOC123815204	putative testis-specific Y-encoded-like protein 3;transcript_id=XM_045833426.1
TM9SF4	transmembrane 9 superfamily member 4;transcript_id=XM_045833284.1
LOC123815402	small nucleolar RNA SNORA5;transcript_id=XR_006785069.1
HCK	HCK proto-oncogene%2C Src family tyrosine kinase%2C transcript variant X2;transcript_id=XM_045833020.1
HCK	HCK proto-oncogene%2C Src family tyrosine kinase%2C transcript variant X1;transcript_id=XM_045833019.1
CCM2L	CCM2 like scaffold protein%2C transcript variant X1;transcript_id=XM_045833717.1
CCM2L	CCM2 like scaffold protein%2C transcript variant X2;transcript_id=XM_045833718.1
CCM2L	CCM2 like scaffold protein%2C transcript variant X3;transcript_id=XM_045833719.1
XKR7	XK related 7;transcript_id=XM_045833523.1
PDRG1	p53 and DNA damage regulated 1;transcript_id=XM_045833687.1
TTLL9	tubulin tyrosine ligase like 9;transcript_id=XM_045833488.1
LOC123814862	dual specificity protein phosphatase 15;transcript_id=XM_045832968.1
LOC123814860	interferon regulatory factor 4-like%2C transcript variant X4;transcript_id=XR_006785001.1
LOC123814860	interferon regulatory factor 4-like%2C transcript variant X1;transcript_id=XM_045832963.1
LOC123814860	interferon regulatory factor 4-like%2C transcript variant X2;transcript_id=XM_045832965.1
LOC123814860	interferon regulatory factor 4-like%2C transcript variant X3;transcript_id=XM_045832966.1
FOXS1	forkhead box S1;transcript_id=XM_045832967.1
MYLK2	myosin light chain kinase 2;transcript_id=XM_045833707.1
TPX2	TPX2 microtubule nucleation factor%2C transcript variant X2;transcript_id=XM_045833684.1
TPX2	TPX2 microtubule nucleation factor%2C transcript variant X1;transcript_id=XM_045833683.1
LOC123815037	40S ribosomal protein S25-like;transcript_id=XM_045833199.1
BCL2L1	BCL2 like 1%2C transcript variant X3;transcript_id=XM_045832953.1
BCL2L1	BCL2 like 1%2C transcript variant X4;transcript_id=XM_045832954.1
BCL2L1	BCL2 like 1%2C transcript variant X5;transcript_id=XM_045832955.1
BCL2L1	BCL2 like 1%2C transcript variant X2;transcript_id=XM_045832952.1
BCL2L1	BCL2 like 1%2C transcript variant X1;transcript_id=XM_045832951.1
LOC123815170	cytochrome c oxidase subunit 4 isoform 2%2C mitochondrial%2C transcript variant X2;transcript_id=XM_045833381.1
LOC123815170	cytochrome c oxidase subunit 4 isoform 2%2C mitochondrial%2C transcript variant X1;transcript_id=XM_045833380.1
ID1	inhibitor of DNA binding 1%2C HLH protein%2C transcript variant X2;transcript_id=XM_045833044.1
ID1	inhibitor of DNA binding 1%2C HLH protein%2C transcript variant X1;transcript_id=XM_045833043.1
HM13	histocompatibility minor 13%2C transcript variant X1;transcript_id=XR_006785047.1
HM13	histocompatibility minor 13%2C transcript variant X2;transcript_id=XM_045833504.1
HM13	histocompatibility minor 13%2C transcript variant X3;transcript_id=XM_045833505.1
REM1	RRAD and GEM like GTPase 1;transcript_id=XM_045833264.1
DEFB124	defensin beta 124;transcript_id=XM_045833200.1
DEFB123	defensin beta 123;transcript_id=XM_045833666.1
DEFB121	defensin beta 121;transcript_id=XM_045833201.1
LOC123815349	beta-defensin 119-like;transcript_id=XM_045833650.1
DEFB116	defensin beta 116;transcript_id=XM_045833628.1
LOC123815162	beta-defensin 115-like;transcript_id=XM_045833371.1
DEFB127	defensin beta 127;transcript_id=XM_045833202.1
DEFB128	defensin beta 128;transcript_id=XM_045833203.1
DEFB129	defensin beta 129;transcript_id=XM_045832671.1
CUNH20orf96	chromosome unknown C20orf96 homolog;transcript_id=XM_045833326.1
ZCCHC3	zinc finger CCHC-type containing 3;transcript_id=XM_045833725.1
SOX12	SRY-box transcription factor 12;transcript_id=XM_045833553.1
NRSN2	neurensin 2;transcript_id=XM_045833302.1
TRIB3	tribbles pseudokinase 3%2C transcript variant X1;transcript_id=XM_045833102.1
TRIB3	tribbles pseudokinase 3%2C transcript variant X2;transcript_id=XM_045833103.1
TRIB3	tribbles pseudokinase 3%2C transcript variant X3;transcript_id=XM_045833104.1
RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1;transcript_id=XM_045832677.1
TBC1D20	TBC1 domain family member 20;transcript_id=XM_045832678.1
LOC123814936	small nuclear ribonucleoprotein E-like;transcript_id=XM_045833090.1
CSNK2A1	casein kinase 2 alpha 1%2C transcript variant X2;transcript_id=XM_045832725.1
CSNK2A1	casein kinase 2 alpha 1%2C transcript variant X4;transcript_id=XM_045832727.1
CSNK2A1	casein kinase 2 alpha 1%2C transcript variant X6;transcript_id=XM_045832729.1
CSNK2A1	casein kinase 2 alpha 1%2C transcript variant X1;transcript_id=XM_045832724.1
CSNK2A1	casein kinase 2 alpha 1%2C transcript variant X5;transcript_id=XM_045832728.1
CSNK2A1	casein kinase 2 alpha 1%2C transcript variant X3;transcript_id=XM_045832726.1
TCF15	transcription factor 15;transcript_id=XM_045833370.1
SRXN1	sulfiredoxin 1;transcript_id=XM_045832869.1
SCRT2	scratch family transcriptional repressor 2;transcript_id=XM_045832868.1
SLC52A3	solute carrier family 52 member 3%2C transcript variant X4;transcript_id=XM_045833250.1
SLC52A3	solute carrier family 52 member 3%2C transcript variant X1;transcript_id=XM_045833247.1
SLC52A3	solute carrier family 52 member 3%2C transcript variant X3;transcript_id=XM_045833249.1
SLC52A3	solute carrier family 52 member 3%2C transcript variant X2;transcript_id=XM_045833248.1
FAM110A	family with sequence similarity 110 member A%2C transcript variant X4;transcript_id=XM_045833254.1
FAM110A	family with sequence similarity 110 member A%2C transcript variant X3;transcript_id=XM_045833253.1
FAM110A	family with sequence similarity 110 member A%2C transcript variant X1;transcript_id=XM_045833251.1
FAM110A	family with sequence similarity 110 member A%2C transcript variant X5;transcript_id=XM_045833255.1
FAM110A	family with sequence similarity 110 member A%2C transcript variant X6;transcript_id=XM_045833256.1
FAM110A	family with sequence similarity 110 member A%2C transcript variant X2;transcript_id=XM_045833252.1
ANGPT4	angiopoietin 4%2C transcript variant X1;transcript_id=XM_045832583.1
ANGPT4	angiopoietin 4%2C transcript variant X2;transcript_id=XM_045832584.1
ANGPT4	angiopoietin 4%2C transcript variant X3;transcript_id=XM_045832586.1
RSPO4	R-spondin 4;transcript_id=XM_045833703.1
PSMF1	proteasome inhibitor subunit 1;transcript_id=XM_045833479.1
TMEM74B	transmembrane protein 74B%2C transcript variant X1;transcript_id=XM_045833226.1
TMEM74B	transmembrane protein 74B%2C transcript variant X4;transcript_id=XM_045833229.1
TMEM74B	transmembrane protein 74B%2C transcript variant X5;transcript_id=XM_045833230.1
TMEM74B	transmembrane protein 74B%2C transcript variant X3;transcript_id=XM_045833228.1
TMEM74B	transmembrane protein 74B%2C transcript variant X2;transcript_id=XM_045833227.1
CUNH20orf202	chromosome unknown C20orf202 homolog;transcript_id=XM_045832630.1
RAD21L1	RAD21 cohesin complex component like 1%2C transcript variant X1;transcript_id=XM_045833467.1
RAD21L1	RAD21 cohesin complex component like 1%2C transcript variant X2;transcript_id=XM_045833468.1
SNPH	syntaphilin%2C transcript variant X5;transcript_id=XM_045833451.1
SNPH	syntaphilin%2C transcript variant X3;transcript_id=XM_045833449.1
SNPH	syntaphilin%2C transcript variant X1;transcript_id=XM_045833446.1
SNPH	syntaphilin%2C transcript variant X6;transcript_id=XM_045833452.1
SNPH	syntaphilin%2C transcript variant X4;transcript_id=XM_045833450.1
SNPH	syntaphilin%2C transcript variant X2;transcript_id=XM_045833448.1
SNPH	syntaphilin%2C transcript variant X7;transcript_id=XM_045833453.1
SNPH	syntaphilin%2C transcript variant X8;transcript_id=XM_045833454.1
SDCBP2	syndecan binding protein 2%2C transcript variant X2;transcript_id=XM_045833046.1
SDCBP2	syndecan binding protein 2%2C transcript variant X1;transcript_id=XM_045833045.1
FKBP1A	FKBP prolyl isomerase 1A;transcript_id=XM_045833550.1
NSFL1C	NSFL1 cofactor%2C transcript variant X2;transcript_id=XM_045833333.1
NSFL1C	NSFL1 cofactor%2C transcript variant X1;transcript_id=XM_045833332.1
SIRPB2	signal regulatory protein beta 2%2C transcript variant X2;transcript_id=XM_045833182.1
SIRPB2	signal regulatory protein beta 2%2C transcript variant X1;transcript_id=XM_045833181.1
SIRPB2	signal regulatory protein beta 2%2C transcript variant X3;transcript_id=XM_045833183.1
LOC123814980	signal-regulatory protein beta-1-like;transcript_id=XM_045833134.1
LOC123815049	signal-regulatory protein beta-1-like;transcript_id=XM_045833206.1
LOC123815050	signal-regulatory protein beta-1-like;transcript_id=XM_045833207.1
LOC123815208	uncharacterized LOC123815208;transcript_id=XR_006785040.1
LOC123815154	signal-regulatory protein beta-1-like%2C transcript variant X5;transcript_id=XR_006785027.1
LOC123815154	signal-regulatory protein beta-1-like%2C transcript variant X3;transcript_id=XM_045833364.1
LOC123815154	signal-regulatory protein beta-1-like%2C transcript variant X2;transcript_id=XM_045833363.1
LOC123815154	signal-regulatory protein beta-1-like%2C transcript variant X1;transcript_id=XM_045833362.1
LOC123815154	signal-regulatory protein beta-1-like%2C transcript variant X6;transcript_id=XM_045833366.1
LOC123815154	signal-regulatory protein beta-1-like%2C transcript variant X4;transcript_id=XM_045833365.1
LOC123815156	signal-regulatory protein beta-1-like;transcript_id=XM_045833367.1
LOC123815158	signal-regulatory protein beta-1-like;transcript_id=XM_045833368.1
LOC123815126	signal-regulatory protein beta-1-like%2C transcript variant X1;transcript_id=XM_045833323.1
LOC123815126	signal-regulatory protein beta-1-like%2C transcript variant X2;transcript_id=XM_045833324.1
LOC123815185	uncharacterized LOC123815185;transcript_id=XR_006785032.1
SIRPA	signal regulatory protein alpha;transcript_id=XM_045832807.1
PDYN	prodynorphin%2C transcript variant X1;transcript_id=XM_045833350.1
PDYN	prodynorphin%2C transcript variant X2;transcript_id=XM_045833351.1
STK35	serine/threonine kinase 35;transcript_id=XM_045832962.1
TGM3	transglutaminase 3;transcript_id=XM_045833236.1
TGM6	transglutaminase 6;transcript_id=XM_045833378.1
SNRPB	small nuclear ribonucleoprotein polypeptides B and B1%2C transcript variant X1;transcript_id=XM_045833572.1
SNRPB	small nuclear ribonucleoprotein polypeptides B and B1%2C transcript variant X2;transcript_id=XM_045833573.1
TMC2	transmembrane channel like 2%2C transcript variant X2;transcript_id=XM_045832593.1
TMC2	transmembrane channel like 2%2C transcript variant X1;transcript_id=XM_045832592.1
NOP56	NOP56 ribonucleoprotein;transcript_id=XM_045832894.1
LOC123815421	small nucleolar RNA SNORD110;transcript_id=XR_006785087.1
LOC123815408	small nucleolar RNA SNORA51;transcript_id=XR_006785075.1
LOC123815420	small nucleolar RNA SNORD86;transcript_id=XR_006785086.1
LOC123815401	small nucleolar RNA SNORD56;transcript_id=XR_006785068.1
LOC123815466	small nucleolar RNA SNORD57;transcript_id=XR_006785120.1
IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta%2C transcript variant X3;transcript_id=XR_006784997.1
IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta%2C transcript variant X1;transcript_id=XM_045832895.1
IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta%2C transcript variant X2;transcript_id=XM_045832896.1
EBF4	EBF family member 4%2C transcript variant X3;transcript_id=XR_006785041.1
EBF4	EBF family member 4%2C transcript variant X4;transcript_id=XR_006785042.1
EBF4	EBF family member 4%2C transcript variant X1;transcript_id=XM_045833457.1
EBF4	EBF family member 4%2C transcript variant X2;transcript_id=XM_045833458.1
CPXM1	carboxypeptidase X%2C M14 family member 1;transcript_id=XM_045833630.1
LOC123815342	uncharacterized LOC123815342%2C transcript variant X3;transcript_id=XR_006785063.1
LOC123815342	uncharacterized LOC123815342%2C transcript variant X2;transcript_id=XR_006785062.1
LOC123815342	uncharacterized LOC123815342%2C transcript variant X1;transcript_id=XR_006785061.1
CUNH20orf141	chromosome unknown C20orf141 homolog;transcript_id=XM_045833494.1
TMEM239	transmembrane protein 239;transcript_id=XM_045832612.1
PCED1A	PC-esterase domain containing 1A;transcript_id=XM_045833349.1
VPS16	VPS16 core subunit of CORVET and HOPS complexes;transcript_id=XM_045833348.1
PTPRA	protein tyrosine phosphatase receptor type A%2C transcript variant X1;transcript_id=XM_045833085.1
PTPRA	protein tyrosine phosphatase receptor type A%2C transcript variant X2;transcript_id=XM_045833087.1
PTPRA	protein tyrosine phosphatase receptor type A%2C transcript variant X3;transcript_id=XM_045833088.1
LOC123815438	U6 spliceosomal RNA;transcript_id=XR_006785095.1
MRPS26	mitochondrial ribosomal protein S26;transcript_id=XM_045832986.1
LOC123814677	oxytocin-neurophysin 1-like;transcript_id=XM_045832613.1
LOC123815198	oxytocin-neurophysin 1-like;transcript_id=XM_045833419.1
LOC123815197	neurophysin 2-like;transcript_id=XM_045833418.1
UBOX5	U-box domain containing 5%2C transcript variant X3;transcript_id=XM_045833006.1
UBOX5	U-box domain containing 5%2C transcript variant X2;transcript_id=XM_045833005.1
UBOX5	U-box domain containing 5%2C transcript variant X4;transcript_id=XM_045833008.1
UBOX5	U-box domain containing 5%2C transcript variant X5;transcript_id=XM_045833009.1
UBOX5	U-box domain containing 5%2C transcript variant X1;transcript_id=XM_045833004.1
FASTKD5	FAST kinase domains 5%2C transcript variant X2;transcript_id=XM_045833003.1
FASTKD5	FAST kinase domains 5%2C transcript variant X1;transcript_id=XM_045833001.1
LZTS3	leucine zipper tumor suppressor family member 3%2C transcript variant X5;transcript_id=XM_045832921.1
LZTS3	leucine zipper tumor suppressor family member 3%2C transcript variant X3;transcript_id=XM_045832919.1
LZTS3	leucine zipper tumor suppressor family member 3%2C transcript variant X1;transcript_id=XM_045832917.1
LZTS3	leucine zipper tumor suppressor family member 3%2C transcript variant X2;transcript_id=XM_045832918.1
LZTS3	leucine zipper tumor suppressor family member 3%2C transcript variant X4;transcript_id=XM_045832920.1
DDRGK1	DDRGK domain containing 1;transcript_id=XM_045833676.1
ITPA	inosine triphosphatase%2C transcript variant X1;transcript_id=XM_045833039.1
ITPA	inosine triphosphatase%2C transcript variant X2;transcript_id=XM_045833040.1
SLC4A11	solute carrier family 4 member 11%2C transcript variant X5;transcript_id=XM_045832976.1
SLC4A11	solute carrier family 4 member 11%2C transcript variant X3;transcript_id=XM_045832974.1
SLC4A11	solute carrier family 4 member 11%2C transcript variant X2;transcript_id=XM_045832973.1
SLC4A11	solute carrier family 4 member 11%2C transcript variant X4;transcript_id=XM_045832975.1
SLC4A11	solute carrier family 4 member 11%2C transcript variant X1;transcript_id=XM_045832972.1
LOC123814867	uncharacterized LOC123814867%2C transcript variant X1;transcript_id=XR_006785002.1
LOC123814867	uncharacterized LOC123814867%2C transcript variant X2;transcript_id=XR_006785003.1
DNAAF9	dynein axonemal assembly factor 9%2C transcript variant X2;transcript_id=XM_045833442.1
DNAAF9	dynein axonemal assembly factor 9%2C transcript variant X1;transcript_id=XM_045833441.1
LOC123815403	small nucleolar RNA SNORA8;transcript_id=XR_006785070.1
ATRN	attractin%2C transcript variant X1;transcript_id=XM_045833471.1
ATRN	attractin%2C transcript variant X2;transcript_id=XM_045833472.1
ATRN	attractin%2C transcript variant X3;transcript_id=XM_045833473.1
LOC123815226	60S ribosomal protein L31-like;transcript_id=XM_045833474.1
GFRA4	GDNF family receptor alpha 4;transcript_id=XM_045832614.1
ADAM33	ADAM metallopeptidase domain 33%2C transcript variant X2;transcript_id=XM_045833306.1
ADAM33	ADAM metallopeptidase domain 33%2C transcript variant X1;transcript_id=XM_045833305.1
ADAM33	ADAM metallopeptidase domain 33%2C transcript variant X3;transcript_id=XM_045833307.1
SIGLEC1	sialic acid binding Ig like lectin 1%2C transcript variant X7;transcript_id=XR_006785035.1
SIGLEC1	sialic acid binding Ig like lectin 1%2C transcript variant X6;transcript_id=XR_006785034.1
SIGLEC1	sialic acid binding Ig like lectin 1%2C transcript variant X3;transcript_id=XM_045833406.1
SIGLEC1	sialic acid binding Ig like lectin 1%2C transcript variant X2;transcript_id=XM_045833405.1
