"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"RYR3",2.12843354580179,0.273073727187808,0.37880914595734,0.720874166059761,0.470986938724456,NA,FALSE,"ryanodine receptor 3;transcript_id=XM_045822230.1",NA,NA
"S100A1",0.26177108046621,0.318526473636033,1.25186549865446,0.254441450761599,0.79915453130864,NA,FALSE,"S100 calcium binding protein A1;transcript_id=XM_045817322.1",NA,NA
"S100A10",322.417680967064,0.10331481826388,0.134041915066674,0.770765011918025,0.440846229315172,0.730078318868161,FALSE,"S100 calcium binding protein A10;transcript_id=XM_045816778.1",NA,NA
"S100A11",537.244240104585,0.164434582415955,0.163812102516787,1.00379996282084,0.315475042329593,0.633875582438335,FALSE,"S100 calcium binding protein A11;transcript_id=XM_045816992.1",NA,NA
"S100A12",1.40587595043898,0.587369397856326,0.539820249384621,1.08808329907207,0.276558335826183,NA,FALSE,"S100 calcium binding protein A12;transcript_id=XM_045816966.1",NA,NA
"S100A13",8.19060626120436,-0.0898766280764703,0.235235640155542,-0.382070625084882,0.702408979725691,0.875586591149692,FALSE,"S100 calcium binding protein A13%2C transcript variant X3;transcript_id=XM_045817320.1",NA,NA
"S100A14",0.325305128815433,0.643276674667157,0.98213429529758,0.654978323990049,0.512481710056986,NA,FALSE,"S100 calcium binding protein A14;transcript_id=XM_045816933.1",NA,NA
"S100A16",0.878336234556772,0.0652452084571313,0.66587224120921,0.0979845748467414,0.921944541910746,NA,FALSE,"S100 calcium binding protein A16%2C transcript variant X1;transcript_id=XM_045817255.1",NA,NA
"S100A3",1.61117011797965,-0.171396335899582,0.384169779691109,-0.446147367545133,0.65549079888945,NA,FALSE,"S100 calcium binding protein A3%2C transcript variant X5;transcript_id=XR_006783167.1",NA,NA
"S100A5",2.21996040726877,0.0754017302026482,0.343466194356402,0.219531736868422,0.826235860322641,NA,FALSE,"S100 calcium binding protein A5%2C transcript variant X1;transcript_id=XM_045817195.1",NA,NA
"S100A7",0,NA,NA,NA,NA,NA,FALSE,"S100 calcium binding protein A7%2C transcript variant X1;transcript_id=XM_045817104.1",NA,NA
"S100A8",3677.50150259678,0.414610522497913,0.273031201845026,1.51854630421782,0.128876735760244,0.444008112186997,FALSE,"S100 calcium binding protein A8;transcript_id=XM_045816961.1",NA,NA
"S100A9",3072.73083266568,0.608168887586366,0.27885756716232,2.1809301923385,0.0291885801547236,0.252405388709405,FALSE,"S100 calcium binding protein A9;transcript_id=XM_045816770.1",NA,NA
"S100B",208.626076772626,0.203538199946987,0.212940040239678,0.955847475739611,0.339149298562953,0.655897791459707,FALSE,"S100 calcium binding protein B%2C transcript variant X1;transcript_id=XM_045852637.1",NA,NA
"S100G",1.20312025492029,0.685224529358836,0.473819899023417,1.44617085684063,0.148129285640428,NA,FALSE,"S100 calcium binding protein G;transcript_id=XM_045856132.1",NA,NA
"S100Z",0.0152692125775374,0.322424248561252,3.59454340120295,0.0896982488661423,0.928527007536488,NA,FALSE,"S100 calcium binding protein Z%2C transcript variant X1;transcript_id=XM_045848337.1",NA,NA
"S1PR1",153.517908616865,-0.233138288093846,0.146067866833421,-1.59609565846348,0.110467437857425,0.417255295387301,FALSE,"sphingosine-1-phosphate receptor 1;transcript_id=XM_045817101.1",NA,NA
"S1PR2",18.0247084024997,0.226672357854574,0.178699880922936,1.26845276383999,0.204636309174084,0.532224115326836,FALSE,"sphingosine-1-phosphate receptor 2%2C transcript variant X1;transcript_id=XM_045853426.1",NA,NA
"S1PR3",3.84246333910135,0.445168301937736,0.294860466506387,1.50975919970639,0.131104879373291,NA,FALSE,"sphingosine-1-phosphate receptor 3;transcript_id=XM_045833825.1",NA,NA
"S1PR4",116.624904681836,-0.027926036528692,0.120285957715621,-0.232163729325035,0.816410847936992,0.931377376494843,FALSE,"sphingosine-1-phosphate receptor 4;transcript_id=XM_045831020.1",NA,NA
"S1PR5",15.1317804468068,-0.0716284845636892,0.213226067437589,-0.335927428688591,0.736925592670055,0.894382552994098,FALSE,"sphingosine-1-phosphate receptor 5;transcript_id=XM_045852840.1",NA,NA
"SAAL1",30.7187652188442,-0.255234003209188,0.133517269061164,-1.91161791282794,0.0559252200497763,0.320970969904373,FALSE,"serum amyloid A like 1%2C transcript variant X2;transcript_id=XM_045825391.1",NA,NA
"SAC3D1",2.22219865102142,-0.476294323948624,0.363804166224606,-1.30920524877818,0.190464834758414,NA,FALSE,"SAC3 domain containing 1;transcript_id=XM_045855424.1",NA,NA
"SACM1L",65.0810218729958,-0.215049942395634,0.0814526610929181,-2.64018313840371,0.00828612368053805,0.152648304408588,FALSE,"SAC1 like phosphatidylinositide phosphatase;transcript_id=XM_045857018.1",NA,NA
"SACS",101.228132095761,-0.116318567278479,0.10195799632148,-1.14084791262198,0.253933218235093,0.578433842864054,FALSE,"sacsin molecular chaperone%2C transcript variant X1;transcript_id=XM_045838970.1",NA,NA
"SAE1",33.1764658807195,0.0204768462286722,0.100157979598913,0.204445480137206,0.838005392629956,0.939863014090597,FALSE,"SUMO1 activating enzyme subunit 1;transcript_id=XM_045845280.1",NA,NA
"SAG",1.40355181733042,1.39463934807078,0.618605195146428,2.25449019667651,0.0241653467095063,NA,FALSE,"S-antigen visual arrestin%2C transcript variant X2;transcript_id=XM_045845657.1",NA,NA
"SALL1",5.63602209179127,-0.273592289079162,0.233958858006763,-1.16940342165311,0.242241131919949,0.569588315076467,FALSE,"spalt like transcription factor 1;transcript_id=XM_045818838.1",NA,NA
"SALL2",14.6914626552814,-0.415586253578828,0.163134016438604,-2.54751438511437,0.0108493379967092,0.17170194011525,FALSE,"spalt like transcription factor 2%2C transcript variant X1;transcript_id=XM_045823621.1",NA,NA
"SALL3",0.0685037728065227,0.548825321636138,3.59454340120295,0.152682903050348,0.878648344058042,NA,FALSE,"spalt like transcription factor 3;transcript_id=XM_045850154.1",NA,NA
"SALL4",0.098049760674114,0.592030065250835,2.33553139746162,0.253488377803135,0.799890841128062,NA,FALSE,"spalt like transcription factor 4%2C transcript variant X1;transcript_id=XM_045832799.1",NA,NA
