"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"TRAPPC10",125.099517654773,0.0116156624091284,0.0295546920278821,0.393022617125231,0.694302776736991,0.970100834124275,FALSE,"trafficking protein particle complex subunit 10;transcript_id=XM_045852456.1",NA,NA
"TRAPPC11",53.9063690395636,-0.0352295238849298,0.0465350369241457,-0.757053743018526,0.449017665318904,0.925115275184643,FALSE,"trafficking protein particle complex subunit 11;transcript_id=XM_045821613.1",NA,NA
"TRAPPC12",68.5275530782901,0.0366903337587463,0.0473836134268003,0.774325364937114,0.438738407492111,0.919849188699091,FALSE,"trafficking protein particle complex subunit 12%2C transcript variant X1;transcript_id=XM_045844287.1",NA,NA
"TRAPPC13",201.632657176367,-0.00119600554485312,0.0652675814963711,-0.0183246493501466,0.985379863428673,0.998719767252072,FALSE,"trafficking protein particle complex subunit 13%2C transcript variant X4;transcript_id=XM_045848247.1",NA,NA
"TRAPPC14",54.5718260257133,-0.0569635247098498,0.0612911243241537,-0.929392719385988,0.352685599552065,0.887939287829199,FALSE,"trafficking protein particle complex subunit 14;transcript_id=XM_045819611.1",NA,NA
"TRAPPC2",19.8959404535865,-0.0969790468663944,0.0652637500871386,-1.4859557830635,0.137290817051028,0.741451973683981,FALSE,"trafficking protein particle complex subunit 2;transcript_id=XM_045856024.1",NA,NA
"TRAPPC2L",13.8689605423207,0.0659424950034566,0.0940216635921241,0.701354267560316,0.48308195471324,0.933386889071215,FALSE,"trafficking protein particle complex subunit 2L%2C transcript variant X1;transcript_id=XM_045818745.1",NA,NA
"TRAPPC3",39.8459352796725,-0.0678114926708916,0.0482244420699594,-1.40616437972506,0.15967531872383,0.763190473748615,FALSE,"trafficking protein particle complex subunit 3;transcript_id=XM_045859108.1",NA,NA
"TRAPPC3L",10.1832414596138,0.0828998383016254,0.106689711520874,0.777018112804682,0.437148084097956,0.919849188699091,FALSE,"trafficking protein particle complex subunit 3L%2C transcript variant X1;transcript_id=XM_045843719.1",NA,NA
"TRAPPC4",56.1488627044139,0.011604786376785,0.0441619171345745,0.262778138490268,0.792721586487705,0.978235875756792,FALSE,"trafficking protein particle complex subunit 4;transcript_id=XM_045836729.1",NA,NA
"TRAPPC5",19.9413853642388,0.0170310320348048,0.0636905834320114,0.267402669548241,0.789159144252865,0.978235875756792,FALSE,"trafficking protein particle complex subunit 5;transcript_id=XM_045830220.1",NA,NA
"TRAPPC6A",1.85832846027907,-0.20198572144786,0.178656340994284,-1.13058243734166,0.258230882973677,0.844378018985987,FALSE,"trafficking protein particle complex subunit 6A%2C transcript variant X2;transcript_id=XM_045845255.1",NA,NA
"TRAPPC6B",601.130910037704,0.0179642669179,0.0737556651716212,0.243564570614327,0.807568070552659,0.978240374792349,FALSE,"trafficking protein particle complex subunit 6B%2C transcript variant X2;transcript_id=XM_045848496.1",NA,NA
"TRAPPC8",867.639310782083,-0.00244233918101083,0.0369988435228995,-0.0660112303104612,0.947368884462851,0.993861313905854,FALSE,"trafficking protein particle complex subunit 8%2C transcript variant X2;transcript_id=XM_045849653.1",NA,NA
"TRAPPC9",88.0424588038523,0.0211006362071433,0.0650752735873838,0.324249673400284,0.745749017817426,0.974653443558693,FALSE,"trafficking protein particle complex subunit 9%2C transcript variant X2;transcript_id=XM_045861310.1",NA,NA
"TRARG1",2.60542947072905,-0.0965798599028802,0.190177479605825,-0.507840676525204,0.611565080859336,0.953826206276736,FALSE,"trafficking regulator of GLUT4 (SLC2A4) 1%2C transcript variant X1;transcript_id=XM_045835656.1",NA,NA
