,Phase,Phase.batch,Band,Ban_Yr_Mo,Trtmt,Additive,Temp,Duration,SampleTime,DecTime,Sex,Est.Age,Cave,Site,Group,FA,WT,TTH,STATUS,LN.N.L..
Phase5.b2.S10,5,Phase5.b2,6354,6354_2024_1,TH,LPS_1,38C,3,3:09 pm,15.15,F,0.8,IH2,Elevator,NEL1,79.96,73.5,1.5,,0.325083231
Phase5.b2.S11,5,Phase5.b2,6364,6364_2024_1,C,PBS,38C,3,1:19 pm,13.32,F,18.7,IH2,Elevator,SEL3,82.5,76.5,5,,-0.293606658
Phase5.b2.S12,5,Phase5.b2,6364,6364_2024_1,TH,LPS_1,38C,3,1:19 pm,13.32,F,18.7,IH2,Elevator,SEL3,82.5,76.5,5,,-0.293606658
Phase5.b2.S13,5,Phase5.b2,6369,6369_2024_1,C,PBS,38C,3,1:31 pm,13.52,F,11.2,IH2,Elevator,SEL4,79.7,65.5,4,,1.337061088
Phase5.b2.S14,5,Phase5.b2,6369,6369_2024_1,TH,LPS_1,38C,3,1:31 pm,13.52,F,11.2,IH2,Elevator,SEL4,79.7,65.5,4,,1.337061088
Phase5.b2.S15,5,Phase5.b2,6369,6369_2024_1,C0,None,38C,0,1:31 pm,13.52,F,11.2,IH2,Elevator,SEL4,79.7,65.5,4,,1.337061088
Phase5.b2.S16,5,Phase5.b2,6377,6377_2024_1,C,PBS,38C,3,1:41 pm,13.68,F,11.24,IH2,Elevator,SEL4,81.18,71.5,4,,1.323235183
Phase5.b2.S17,5,Phase5.b2,6377,6377_2024_1,TH,LPS_1,38C,3,1:41 pm,13.68,F,11.24,IH2,Elevator,SEL4,81.18,71.5,4,,1.323235183
Phase5.b2.S18,5,Phase5.b2,6165,6165_2024_1,C,PBS,38C,3,2:10 pm,14.17,M,4.2,IH2,Stairwell,,81.33,85.5,2,B,0.844147005
Phase5.b2.S19,5,Phase5.b2,6165,6165_2024_1,TH,LPS_1,38C,3,2:10 pm,14.17,M,4.2,IH2,Stairwell,,81.33,85.5,2,B,0.844147005
Phase5.b2.S2,5,Phase5.b2,6221,6221_2024_1,TH,LPS_1,38C,3,1:22 pm,13.37,F,9.9,IH2,Elevator,NEL1,80.44,75,3.5,,0.369697884
Phase5.b2.S20,5,Phase5.b2,6256,6256_2024_1,C,PBS,38C,3,1:34 pm,13.57,M,7.5,IH2,Elevator,SEL2,80.76,86,3.5,H,0.029012396
Phase5.b2.S21,5,Phase5.b2,6256,6256_2024_1,TH,LPS_1,38C,3,1:34 pm,13.57,M,7.5,IH2,Elevator,SEL2,80.76,86,3.5,H,0.029012396
Phase5.b2.S22,5,Phase5.b2,6334,6334_2024_1,C,PBS,38C,3,2:18 pm,14.3,M,2.9,IH2,Stairwell,,83.13,91.5,2,B,1.787507687
Phase5.b2.S23,5,Phase5.b2,6334,6334_2024_1,TH,LPS_1,38C,3,2:18 pm,14.3,M,2.9,IH2,Stairwell,,83.13,91.5,2,B,1.787507687
Phase5.b2.S24,5,Phase5.b2,6338,6338_2024_1,C,PBS,38C,3,3:18 pm,15.3,M,7.9,IH2,Stairwell,,81.96,85.5,2.5,B,0.863411086
Phase5.b2.S25,5,Phase5.b2,6338,6338_2024_1,TH,LPS_1,38C,3,3:18 pm,15.3,M,7.9,IH2,Stairwell,,81.96,85.5,2.5,B,0.863411086
Phase5.b2.S26,5,Phase5.b2,6339,6339_2024_1,C,PBS,38C,3,3:44 pm,15.73,M,1.9,IH2,Stairwell,,78.02,73.8,1.5,B,0.43936666
Phase5.b2.S27,5,Phase5.b2,6339,6339_2024_1,TH,LPS_1,38C,3,3:44 pm,15.73,M,1.9,IH2,Stairwell,,78.02,73.8,1.5,B,0.43936666
Phase5.b2.S28,5,Phase5.b2,6340,6340_2024_1,C,PBS,38C,3,3:35 pm,15.58,M,3,IH2,Stairwell,,82.18,86,1.5,B,0.694742332
Phase5.b2.S29,5,Phase5.b2,6340,6340_2024_1,TH,LPS_1,38C,3,3:35 pm,15.58,M,3,IH2,Stairwell,,82.18,86,1.5,B,0.694742332
Phase5.b2.S3,5,Phase5.b2,6227,6227_2024_1,C,PBS,38C,3,2:02 pm,14.03,F,5.4,IH2,Elevator,NEL1,80.61,71.8,3,,0.336965922
Phase5.b2.S30,5,Phase5.b2,6386,6386_2024_1,C,PBS,38C,3,1:27 pm,13.45,M,7.1,IH2,Elevator,NEL6,81.55,85.5,3,H,0.758459331
Phase5.b2.S31,5,Phase5.b2,6386,6386_2024_1,TH,LPS_1,38C,3,1:27 pm,13.45,M,7.1,IH2,Elevator,NEL6,81.55,85.5,3,H,0.758459331
Phase5.b2.S32,5,Phase5.b2,6387,6387_2024_1,C,PBS,38C,3,1:43 pm,13.72,M,3.95,IH2,Elevator,SEL7,81.73,85.5,2,H,0.314587723
Phase5.b2.S33,5,Phase5.b2,6387,6387_2024_1,TH,LPS_1,38C,3,1:43 pm,13.72,M,3.95,IH2,Elevator,SEL7,81.73,85.5,2,H,0.314587723
Phase5.b2.S34,5,Phase5.b2,6387,6387_2024_1,C0,None,38C,0,1:43 pm,13.72,M,3.95,IH2,Elevator,SEL7,81.73,85.5,2,H,0.314587723
Phase5.b2.S4,5,Phase5.b2,6227,6227_2024_1,TH,LPS_1,38C,3,2:02 pm,14.03,F,5.4,IH2,Elevator,NEL1,80.61,71.8,3,,0.336965922
Phase5.b2.S5,5,Phase5.b2,6246,6246_2024_1,C,PBS,38C,3,3:00 pm,15,F,5,IH2,Elevator,SEL2,81.31,79.5,2,,-0.629295709
Phase5.b2.S6,5,Phase5.b2,6246,6246_2024_1,TH,LPS_1,38C,3,3:00 pm,15,F,5,IH2,Elevator,SEL2,81.31,79.5,2,,-0.629295709
Phase5.b2.S7,5,Phase5.b2,6259,6259_2024_1,C,PBS,38C,3,2:50 pm,14.83,F,12.4,IH2,Elevator,SEL2,81.79,74,4.5,,0.519422249
Phase5.b2.S8,5,Phase5.b2,6259,6259_2024_1,TH,LPS_1,38C,3,2:50 pm,14.83,F,12.4,IH2,Elevator,SEL2,81.79,74,4.5,,0.519422249
Phase5.b2.S9,5,Phase5.b2,6354,6354_2024_1,C,PBS,38C,3,3:09 pm,15.15,F,0.8,IH2,Elevator,NEL1,79.96,73.5,1.5,,0.325083231
Phase6.S1,6,Phase6,3980,3980_2024_1,C0,None,38C,0,11:30 am,11.5,F,10,Tamana,Rd Chamber,R9,82.04,70.8,4,,1.131402111
Phase6.S10,6,Phase6,6126,6126_2024_1,C0,None,38C,0,,0,F,15.1,Tamana,Rd Chamber,R10,85.69,72.2,4.5,,1.592002851
Phase6.S11,6,Phase6,6150,6150_2024_1,C0,None,38C,0,4:37 pm,16.62,M,6.1,Tamana,Lg Chamber,L18,84.24,90.5,2,B,0.709928658
Phase6.S12,6,Phase6,6165,6165_2024_1,C0,None,38C,0,,0,M,4,Ice House2,Stairway,North,82.74,87.5,1.5,B,0.842393486
Phase6.S13,6,Phase6,6194,6194_2024_1,C0,None,38C,0,4:47 pm,16.78,M,0.8,Tamana,Lg Chamber,R11,82.73,73.6,1,B,1.181700169
Phase6.S14,6,Phase6,6216,6216_2024_1,C0,None,38C,0,,0,F,5.3,Ice House2,Elevator,NEL6,85.12,81.5,3,,0.348894757
Phase6.S15,6,Phase6,6227,6227_2024_1,C0,None,38C,0,2:02 pm,14.03,F,5.4,IH2,Elevator,NEL1,80.61,71.8,3,,0.338102524
Phase6.S16,6,Phase6,6310,6310_2024_1,C0,None,38C,0,,0,M,4.9,Tamana,Tunnel,T5,85.07,90.5,3,H,0.939077458
Phase6.S17,6,Phase6,6323,6323_2024_1,C0,None,38C,0,,0,M,4.5,Tamana,Rd Chamber,R11,85.2,88.5,2.5,H,1.589972578
Phase6.S18,6,Phase6,6334,6334_2024_1,C0,None,38C,0,,0,M,2.9,Ice House2,Elevator,EL6.1,78.55,87,2,B,1.788142829
Phase6.S19,6,Phase6,6335,6335_2024_1,C0,None,38C,0,,0,M,3,Ice House2,Stairwell,,84.71,94,2,B,0.44249831
Phase6.S2,6,Phase6,4785,4785_2024_1,C0,None,38C,0,12:00 pm,12,F,16.4,Tamana,Rd Chamber,R6,84.16,76,2.5,,1.673976434
Phase6.S20,6,Phase6,6336,6336_2024_1,C0,None,38C,0,,0,M,3.7,Ice House2,Stairwell,,82.21,84.2,2,B,3.277144733
Phase6.S21,6,Phase6,6338,6338_2024_1,C0,None,38C,0,3:18 pm,15.3,M,7.9,IH2,Stairwell,,81.96,85.5,2.5,B,0.865182093
Phase6.S22,6,Phase6,6339,6339_2024_1,C0,None,38C,0,3:44 pm,15.73,M,1.9,IH2,Stairwell,,78.02,73.8,1.5,B,0.438504962
Phase6.S23,6,Phase6,6340,6340_2024_1,C0,None,38C,0,3:35 pm,15.58,M,3,IH2,Stairwell,,82.18,86,1.5,B,0.694693971
Phase6.S24,6,Phase6,6347,6347_2024_1,C0,None,38C,0,11:40 am,11.67,F,9.6,Ice House2,Elevator,NEL1,79.56,78,4,,0.043390755
Phase6.S25,6,Phase6,6352,6352_2024_1,C0,None,38C,0,11:40 am,11.67,F,13.4,Ice House2,Elevator,NEL1,81.78,68,3,,1.03932546
Phase6.S26,6,Phase6,6354,6354_2024_1,C0,None,38C,0,3:09 pm,15.15,F,0.8,IH2,Elevator,NEL1,79.96,73.5,1.5,,0.325083231
Phase6.S27,6,Phase6,4701,4701_2023_1,C0,None,38C,0,10:50 am,10.83,M,1.3,Tamana,Rd Chamber,R9,87.43,79.5,1,B,1.028217875
Phase6.S28,6,Phase6,6265,6265_2024_1,C0,None,38C,0,,0,F,0.8,Tamana,Rd Chamber,R10,82.15,57.5,0.9,,0.31642144
Phase6.S29,6,Phase6,6288,6288_2024_1,C0,None,38C,0,,0,F,1.75,Tamana,Tunnel,T5,84.09,70,1.5,,0.467957942
Phase6.S3,6,Phase6,4793,4793_2024_1,C0,None,38C,0,11:30 am,11.5,F,11.4,Tamana,Rd Chamber,R9,81.36,71.8,4.5,,0.342223736
Phase6.S30,6,Phase6,3827,3827_2024_1,C0,None,38C,0,1:23 pm,13.38,F,18.26,Tamana,Rd Chamber,R11,85.14,76.8,4,,1.437530527
Phase6.S31,6,Phase6,6101,6101_2024_1,C0,None,38C,0,12:00 pm,12,F,7.2,Tamana,Rd Chamber,R6,79.29,73,3,,1.779783278
Phase6.S32,6,Phase6,4727,4727_2023_1,C0,None,38C,0,11:30 am,11.5,F,5.75,Tamana,Rd Chamber,R14,84.76,85,3,,1.262065361
Phase6.S33,6,Phase6,6036,6036_2023_1,C0,None,38C,0,12:10 pm,12.17,M,5,Tamana,Rd Chamber,R7,84.78,89,2,H,1.49466999
Phase6.S34,6,Phase6,4762,4762_2023_1,C0,None,38C,0,12:00 pm,12,M,5.51,Tamana,Tunnel,T1,82.89,92,2,H,-0.042559614
Phase6.S4,6,Phase6,6001,6001_2024_1,C0,None,38C,0,4:54 pm,16.9,M,6.79,Tamana,Rd Chamber,R12,82.68,98,2,H,1.883874758
Phase6.S5,6,Phase6,6107,6107_2024_1,C0,None,38C,0,12:00 pm,12,F,8.1,Tamana,Rd Chamber,R6,80.1,69.4,2,,2.2914862
Phase6.S6,6,Phase6,6112,6112_2024_1,C0,None,38C,0,12:00 pm,12,F,7.3,Tamana,Rd Chamber,R6,80.15,73,3,,0.605235308
Phase6.S7,6,Phase6,6115,6115_2024_1,C0,None,38C,0,3:20 pm,15.33,M,5.3,Tamana,Rd Chamber,R6,82.1,85.5,2.5,H,1.261651916
Phase6.S8,6,Phase6,6119,6119_2024_1,C0,None,38C,0,12:20 pm,12.33,F,6.5,Tamana,Rd Chamber,R10,80.98,73.5,2.5,,0.729326837
Phase6.S9,6,Phase6,6123,6123_2024_1,C0,None,38C,0,4:13 pm,16.22,F,17.28,Tamana,Rd Chamber,R10,82.32,67.5,4.5,,-0.192943811
Phase7.1.S1,7,Phase7.1,6258,6258_2025_1,C0,None,38C,0,12:10 pm,12.17,F,3.52,Ice House2,Elevator,EL4.7,79.2,76.5,2,,0.396654478
Phase7.1.S10,7,Phase7.1,6383,6383_2025_1,TH,LPS_1,38C,3,12:10 pm,12.17,F,12.13,Ice House2,Elevator,EL4.7,81.48,73,5,,0.334639056
Phase7.1.S11,7,Phase7.1,6247,6247_2025_1,C0,None,38C,0,12:10 pm,12.17,F,12.34,Ice House2,Elevator,EL4.7,79.4,71,4.5,,0.78691534
Phase7.1.S12,7,Phase7.1,6247,6247_2025_1,TH,LPS_1,38C,3,12:10 pm,12.17,F,12.34,Ice House2,Elevator,EL4.7,79.4,71,4.5,,0.78691534
Phase7.1.S13,7,Phase7.1,6417,6417_2025_1,C0,None,38C,0,12:05 pm,12.08,M,2.38,Ice House2,Stairwell,ST7.4,82.02,73.5,1,B,0.10333827
Phase7.1.S14,7,Phase7.1,6417,6417_2025_1,TH,LPS_1,38C,3,12:05 pm,12.08,M,2.85,Ice House2,Stairwell,ST7.4,82.02,73.5,1,B,0.10333827
Phase7.1.S15,7,Phase7.1,6334,6334_2025_1,C0,None,38C,0,11:45 am,11.75,M,3.92,Ice House2,Elevator,EL6.1,78.55,87,2,B,2.383554156
Phase7.1.S16,7,Phase7.1,6334,6334_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,M,3.92,Ice House2,Elevator,EL6.1,78.55,87,2,B,2.383554156
Phase7.1.S17,7,Phase7.1,6422,6422_2025_1,C0,None,38C,0,12:05 pm,12.08,M,1.77,Ice House2,Stairwell,ST7.4,79.2,73,1.5,B,-0.790359406
Phase7.1.S18,7,Phase7.1,6422,6422_2025_1,TH,LPS_1,38C,3,12:05 pm,12.08,M,1.77,Ice House2,Stairwell,ST7.4,79.2,73,1.5,B,-0.790359406
Phase7.1.S19,7,Phase7.1,6342,6342_2025_1,C0,None,38C,0,11:45 am,11.75,M,3.61,Ice House2,Elevator,EL6.1,80.47,83.5,2,B,0.666225523
Phase7.1.S2,7,Phase7.1,6258,6258_2025_1,TH,LPS_1,38C,3,12:10 pm,12.17,F,3.52,Ice House2,Elevator,EL4.7,79.2,76.5,2,,0.396654478
Phase7.1.S20,7,Phase7.1,6342,6342_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,M,3.61,Ice House2,Elevator,EL6.1,80.47,83.5,2,B,0.666225523
Phase7.1.S21,7,Phase7.1,6420,6420_2025_1,C0,None,38C,0,12:05 pm,12.08,M,3.44,Ice House2,Stairwell,ST7.4,81.21,83.5,2,B,-0.939591297
Phase7.1.S22,7,Phase7.1,6420,6420_2025_1,TH,LPS_1,38C,3,12:05 pm,12.08,M,3.44,Ice House2,Stairwell,ST7.4,81.21,83.5,2,B,-0.939591297
Phase7.1.S23,7,Phase7.1,6421,6421_2025_1,C0,None,38C,0,12:05 pm,12.08,M,2.94,Ice House2,Stairwell,ST7.4,80.47,82.5,2,B,1.125431115
Phase7.1.S24,7,Phase7.1,6421,6421_2025_1,TH,LPS_1,38C,3,12:05 pm,12.08,M,2.94,Ice House2,Stairwell,ST7.4,80.47,82.5,2,B,1.125431115
Phase7.1.S25,7,Phase7.1,6439,6439_2025_1,C0,None,38C,0,11:45 am,11.75,M,4.03,Ice House2,Elevator,EL6.1,80.91,85,2.5,B,0.843758034
Phase7.1.S26,7,Phase7.1,6439,6439_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,M,4.03,Ice House2,Elevator,EL6.1,80.91,85,2.5,B,0.843758034
Phase7.1.S27,7,Phase7.1,6435,6435_2025_1,C0,None,38C,0,11:45 am,11.75,M,7.23,Ice House2,Elevator,EL6.1,79.78,97,3.5,B,0.872757484
Phase7.1.S28,7,Phase7.1,6435,6435_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,M,7.23,Ice House2,Elevator,EL6.1,79.78,97,3.5,B,0.872757484
Phase7.1.S29,7,Phase7.1,4750,4750_2025_1,C0,None,38C,0,11:45 am,11.75,F,2.74,Tamana,Round chamber,R1,81.59,76,2,,0.38692153
Phase7.1.S3,7,Phase7.1,6440,6440_2025_1,C0,None,38C,0,11:45 am,11.75,F,2.92,Ice House2,Elevator,EL6.1,81.03,66,2,,-0.175526514
Phase7.1.S30,7,Phase7.1,4750,4750_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,F,2.74,Tamana,Round chamber,R1,81.59,76,2,,0.38692153
Phase7.1.S31,7,Phase7.1,6029,6029_2025_1,C0,None,38C,0,11:45 am,11.75,F,4.36,Tamana,Round chamber,R1,80.72,72,2.5,,0.940983344
Phase7.1.S32,7,Phase7.1,6029,6029_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,F,4.36,Tamana,Round chamber,R1,80.72,72,2.5,,0.940983344
Phase7.1.S33,7,Phase7.1,4789,4789_2025_1,C0,None,38C,0,11:35 am,11.58,F,5.43,Tamana,Round chamber,R9,82.68,74.5,2,,-0.316120008
Phase7.1.S34,7,Phase7.1,4789,4789_2025_1,TH,LPS_1,38C,3,11:35 am,11.58,F,5.43,Tamana,Round chamber,R9,82.68,74.5,2,,-0.316120008
Phase7.1.S4,7,Phase7.1,6440,6440_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,F,2.92,Ice House2,Elevator,EL6.1,81.03,66,2,,-0.175526514
Phase7.1.S5,7,Phase7.1,6250,6250_2025_1,C0,None,38C,0,12:10 pm,12.17,F,11.25,Ice House2,Elevator,EL4.7,76.6,68,4,,0.822053801
Phase7.1.S6,7,Phase7.1,6250,6250_2025_1,TH,LPS_1,38C,3,12:10 pm,12.17,F,11.25,Ice House2,Elevator,EL4.7,76.6,68,4,,0.822053801
Phase7.1.S7,7,Phase7.1,6447,6447_2025_1,C0,None,38C,0,12:10 pm,12.17,F,10.49,Ice House2,Elevator,EL4.7,80.63,79.5,4,,1.609437912
Phase7.1.S8,7,Phase7.1,6447,6447_2025_1,TH,LPS_1,38C,3,12:10 pm,12.17,F,10.49,Ice House2,Elevator,EL4.7,80.63,79.5,4,,1.609437912
Phase7.1.S9,7,Phase7.1,6383,6383_2025_1,C0,None,38C,0,12:10 pm,12.17,F,12.13,Ice House2,Elevator,EL4.7,81.48,73,5,,0.334639056
Phase7.2.S1,7,Phase7.2,2311,2311_2025_1,C0,None,38C,0,11:35 am,11.58,F,7.74,Tamana,Round chamber,R9,80.98,76.5,3,,0.390238661
Phase7.2.S10,7,Phase7.2,3990,3990_2025_1,TH,LPS_1,38C,3,11:35 am,11.58,F,14.64,Tamana,Round chamber,R9,80.67,72.5,4,,0.632328441
Phase7.2.S11,7,Phase7.2,6198,6198_2025_1,C0,None,38C,0,12:30 pm,12.5,M,1.73,Tamana,Long chamber,L15,79.71,83,2.5,B,0.959041899
Phase7.2.S12,7,Phase7.2,6198,6198_2025_1,TH,LPS_1,38C,3,12:30 pm,12.5,M,1.73,Tamana,Long chamber,L15,79.71,83,2.5,B,0.959041899
Phase7.2.S13,7,Phase7.2,6355,6355_2025_1,C0,None,38C,0,12:30 pm,12.5,M,4.05,Tamana,Long chamber,L15,83.57,87.5,2.5,B,2.102972039
Phase7.2.S14,7,Phase7.2,6355,6355_2025_1,TH,LPS_1,38C,3,12:30 pm,12.5,M,4.05,Tamana,Long chamber,L15,83.57,87.5,2.5,B,2.102972039
Phase7.2.S15,7,Phase7.2,6395,6395_2025_1,C0,None,38C,0,12:30 pm,12.5,M,3.42,Tamana,Long chamber,L15,79.63,87,1.5,B,1.968652003
Phase7.2.S16,7,Phase7.2,6395,6395_2025_1,TH,LPS_1,38C,3,12:30 pm,12.5,M,3.42,Tamana,Long chamber,L15,79.63,87,1.5,B,1.968652003
Phase7.2.S17,7,Phase7.2,6323,6323_2025_1,C0,None,38C,0,1:50 pm,13.83,M,5.51,Tamana,Round chamber,R11,85.13,87,2.5,H,0.479441709
Phase7.2.S18,7,Phase7.2,6323,6323_2025_1,TH,LPS_1,38C,3,1:50 pm,13.83,M,5.51,Tamana,Round chamber,R11,85.13,87,2.5,H,0.479441709
Phase7.2.S19,7,Phase7.2,6396,6396_2025_1,C0,None,38C,0,12:30 pm,12.5,M,5,Tamana,Long chamber,L15,80.51,80,2,B,0.631589288
Phase7.2.S2,7,Phase7.2,2311,2311_2025_1,TH,LPS_1,38C,3,11:35 am,11.58,F,7.74,Tamana,Round chamber,R9,80.98,76.5,3,,0.390238661
Phase7.2.S20,7,Phase7.2,6396,6396_2025_1,TH,LPS_1,38C,3,12:30 pm,12.5,M,5,Tamana,Long chamber,L15,80.51,80,2,B,0.631589288
Phase7.2.S21,7,Phase7.2,6037,6037_2025_1,C0,None,38C,0,11:35 am,11.58,M,9.36,Tamana,Round chamber,R9,87.07,99.5,3.5,H,1.218928895
Phase7.2.S22,7,Phase7.2,6037,6037_2025_1,TH,LPS_1,38C,3,11:35 am,11.58,M,9.36,Tamana,Round chamber,R9,87.07,99.5,3.5,H,1.218928895
Phase7.2.S23,7,Phase7.2,6446,6446_2025_1,C0,None,38C,0,12:10 pm,12.17,F,8.51,Ice House2,Elevator,EL4.7,79.32,70,3,,1.338450719
Phase7.2.S24,7,Phase7.2,6446,6446_2025_1,TH,LPS_1,38C,3,12:10 pm,12.17,F,8.51,Ice House2,Elevator,EL4.7,79.32,70,3,,1.338450719
Phase7.2.S25,7,Phase7.2,6259,6259_2025_1,C0,None,38C,0,12:10 pm,12.17,F,13.4,Ice House2,Elevator,EL4.7,81.58,71.5,4,,0.614463588
Phase7.2.S26,7,Phase7.2,6259,6259_2025_1,TH,LPS_1,38C,3,12:10 pm,12.17,F,13.4,Ice House2,Elevator,EL4.7,81.58,71.5,4,,0.614463588
Phase7.2.S27,7,Phase7.2,6272,6272_2025_1,C0,None,38C,0,12:30 pm,12.5,M,6.2,Tamana,Long chamber,L15,85.58,95,3,B,1.851789737
Phase7.2.S28,7,Phase7.2,6272,6272_2025_1,TH,LPS_1,38C,3,12:30 pm,12.5,M,6.2,Tamana,Long chamber,L15,85.58,95,3,B,1.851789737
Phase7.2.S29,7,Phase7.2,4982,4982_2025_1,C0,None,38C,0,11:45 am,11.75,M,6.42,Tamana,Round chamber,R1,82.57,88,2.5,H,1.438938095
Phase7.2.S3,7,Phase7.2,6033,6033_2025_1,C0,None,38C,0,11:45 am,11.75,F,7.83,Tamana,Round chamber,R1,81.21,71.5,3.5,,0.713349888
Phase7.2.S30,7,Phase7.2,4982,4982_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,M,6.42,Tamana,Round chamber,R1,82.57,88,2.5,H,1.438938095
Phase7.2.S31,7,Phase7.2,6033,6033_2025_1,C3,None,38C,0,11:45 am,11.75,F,7.83,Tamana,Round chamber,R1,81.21,71.5,3.5,,0.713349888
Phase7.2.S32,7,Phase7.2,4716,4716_2025_1,C3,None,38C,0,11:35 am,11.58,F,14.1,Tamana,Round chamber,R9,83.7,73.5,5,,-0.216026084
Phase7.2.S33,7,Phase7.2,6198,6198_2025_1,C3,None,38C,0,12:30 pm,12.5,M,1.73,Tamana,Long chamber,L15,79.71,83,2.5,B,0.959041899
Phase7.2.S34,7,Phase7.2,6272,6272_2025_1,C3,None,38C,0,12:30 pm,12.5,M,6.2,Tamana,Long chamber,L15,85.58,95,3,B,1.851789737
Phase7.2.S4,7,Phase7.2,6033,6033_2025_1,TH,LPS_1,38C,3,11:45 am,11.75,F,7.83,Tamana,Round chamber,R1,81.21,71.5,3.5,,0.713349888
Phase7.2.S5,7,Phase7.2,4716,4716_2025_1,C0,None,38C,0,11:35 am,11.58,F,14.1,Tamana,Round chamber,R9,83.7,73.5,5,,-0.216026084
Phase7.2.S6,7,Phase7.2,4716,4716_2025_1,TH,LPS_1,38C,3,11:35 am,11.58,F,14.1,Tamana,Round chamber,R9,83.7,73.5,5,,-0.216026084
Phase7.2.S7,7,Phase7.2,6317,6317_2025_1,C0,None,38C,0,1:50 pm,13.83,F,14.32,Tamana,Round chamber,R11,79.55,70,3.5,,0.01670185
Phase7.2.S8,7,Phase7.2,6317,6317_2025_1,TH,LPS_1,38C,3,1:50 pm,13.83,F,14.32,Tamana,Round chamber,R11,79.55,70,3.5,,0.01670185
Phase7.2.S9,7,Phase7.2,3990,3990_2025_1,C0,None,38C,0,11:35 am,11.58,F,14.64,Tamana,Round chamber,R9,80.67,72.5,4,,0.632328441
