baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,gene
3866.95194608509,3.04559570572932,0.112517300573192,27.0677992647733,2.35802651159494e-161,4.02302903143213e-157,TRUE,JAG1
1448.33362298053,1.63675153373819,0.0653880180545622,25.031367862724,2.78582348111202e-138,2.37644672056261e-134,TRUE,BCL2A1
3678.49547379527,2.5195340463011,0.108420198564259,23.2386038733162,1.85488300258251e-119,1.05487196356868e-115,TRUE,ACSL1
4720.07819077005,2.5704846046087,0.111860267790366,22.9794247357423,7.48723696669818e-117,3.19349374722094e-113,TRUE,SLC2A3
1127.45920037046,1.48035791378628,0.0670575318586342,22.075937970802,5.3835623650782e-108,1.83697915021198e-104,TRUE,RGS16
984.877876415487,2.42435497029614,0.112182301466028,21.6108507189995,1.42008032501134e-103,4.03799840416973e-100,TRUE,IL10
3101.17157215498,2.57421655617124,0.122021486635539,21.0964202055665,8.57904267990242e-99,2.09095781659736e-95,TRUE,LOC106507710
362.522794849891,-3.64154405744747,0.173254365605308,-21.0184836885628,4.44405093351027e-98,9.47749412207734e-95,TRUE,TNFSF11
2028.12199449265,2.11098244527313,0.108530585957581,19.4505763204689,2.88173969253388e-84,5.45475502481606e-81,TRUE,NAMPT
3011.55543980704,1.91049063682608,0.0982497403667431,19.4452487069653,3.19720709502143e-84,5.45475502481606e-81,TRUE,NFKBIZ
2078.24719690848,1.9331088452809,0.101441524832562,19.0563859176176,5.81558734089528e-81,9.01997596572858e-78,TRUE,VEGFA
16036.3780498782,2.06863236170567,0.108727369094222,19.0258660624173,1.04152211713646e-80,1.48078407003876e-77,TRUE,BIRC3
2338.18614735299,1.50182732248919,0.0819617245582156,18.3235202844283,5.37227131477074e-75,7.0504862231772e-72,TRUE,CD83
1251.64452863703,2.03948767407264,0.112267068878673,18.1663928206472,9.52586387294002e-74,1.16086259668736e-70,TRUE,SLC5A3
10678.1027714156,1.54407172962935,0.0862422078810395,17.903898422443,1.09949032676787e-71,1.25056029766577e-68,TRUE,PFKFB3
1150.86855547638,2.45024384894404,0.140155535890017,17.4823194345087,1.95387179695903e-68,2.08343792049488e-65,TRUE,ZC3H12A
697.093799210217,3.57790821591907,0.204992065471865,17.4538863622999,3.2158830577012e-68,3.2274224027906e-65,TRUE,IER3
1030.56383766521,-1.79373122422238,0.104292462435129,-17.1990495031038,2.69922929333338e-66,2.55841949853116e-63,TRUE,MERTK
318.506559370319,-2.38897535063751,0.139717002470315,-17.0986730920246,1.5182167476272e-65,1.36327873322461e-62,TRUE,P2RY1
655.161075828077,1.71109949831413,0.100396770333285,17.043371939494,3.91494504111332e-65,3.33964386732172e-62,TRUE,PIM2
208.125353455175,1.85733850301452,0.109452003588065,16.9694335610778,1.38259223411454e-64,1.12325743362991e-61,TRUE,BTG3
202.263036493775,-3.19963490845201,0.188769095743014,-16.9499933019117,1.92475717723049e-64,1.49264919094225e-61,TRUE,TMEM37
2204.08310030705,1.65879063120801,0.0985045804476755,16.8397309411326,1.24802657753516e-63,9.25764410405539e-61,TRUE,MAP3K8
430.181327624847,1.73892651280178,0.104181745769755,16.6912783036374,1.51687855994932e-62,1.07831104630398e-59,TRUE,ABHD17C
1286.34017696522,2.18730172302246,0.131423066026504,16.6432102762033,3.38949107461024e-62,2.31312428895701e-59,TRUE,NLRP3
4980.56924300568,5.58043636037883,0.340176569538732,16.4045288831788,1.77498286888021e-60,1.16473010484481e-57,TRUE,ACOD1
4150.93725328285,1.16371427922287,0.0713252483119782,16.315600811269,7.64502881243341e-60,4.83080876181209e-57,TRUE,BHLHE40
771.699727708356,-1.33757525804507,0.0824838168312983,-16.2162143973135,3.87344978606757e-59,2.36017595714639e-56,TRUE,GPR34
2743.29056092492,1.03104674063326,0.0636240565963411,16.2052971122962,4.6264572260175e-59,2.72179264596843e-56,TRUE,BAZ1A
1915.87680398345,2.03770015356666,0.127042359678835,16.0395332605439,6.76609410559356e-58,3.84787771785106e-55,TRUE,SEMA7A
3021.37111245627,1.42180018544128,0.0890993237533168,15.9574744851905,2.52753966987208e-57,1.39104368734476e-54,TRUE,MARCKS
460.764281777089,1.2810671417466,0.0811923951029348,15.7781666635463,4.39777088150857e-56,2.3446990315443e-53,TRUE,LOC102166961
6391.43562844021,2.70646386005041,0.172411727586847,15.6976784464219,1.5687887696453e-55,8.11063793906619e-53,TRUE,NFKBIA
434.023121145238,2.07693626240675,0.132564843457573,15.6673233131487,2.53012426430625e-55,1.26960147274497e-52,TRUE,NOCT
8777.92273170146,4.43089397877196,0.28299771520603,15.6569955893324,2.97628837158678e-55,1.45081302593263e-52,TRUE,IL1A
1603.55137092987,3.84928493213235,0.247501605680092,15.5525654936871,1.52857966965236e-54,7.24419381776081e-52,TRUE,MEFV
1456.05483002221,-1.44890716969477,0.093462176260028,-15.5026046650536,3.33109608296576e-54,1.53599541274267e-51,TRUE,HNMT
437.716759415927,1.83278958741077,0.118317273640163,15.4904650100781,4.02369637480252e-54,1.80653378553963e-51,TRUE,TRIM36
453.659979205141,1.96083739543067,0.127717443035218,15.352933388198,3.38526380018885e-53,1.48092271012877e-50,TRUE,TRAF4
558.390161247546,-1.44273542584096,0.0942699134940528,-15.3043041238388,7.15633010736221e-53,3.05235369904266e-50,TRUE,FAM20A
3124.6619893402,1.12327676715395,0.073708810102082,15.2393827223405,1.93691604792548e-52,8.05993285211136e-50,TRUE,TBC1D2B
1283.80597825246,1.84451056827813,0.121685362246775,15.1580316171267,6.7048812935676e-52,2.72361856546564e-49,TRUE,ZC3H12C
